Country_Other,April16,April17,April18,April19,April20,April21,April22,April23,April24,April25,April26,April27,April28,April29,April30,May01,May02
Egypt,+168,+171,+188,+112,+189,+157,+169,+232,+201,+227,+215,+248,+260,+226,+269,+358,+298
South Africa,+99,+178,+251,+124,+142,+165,+170,+318,+267,+141,+185,+247,+203,+354,+297,+304,+385
Morocco,+259,+281,+121,+170,+191,+163,+237,+122,+190,+139,+168,+55,+132,+69,+102,+146,+160
Algeria,+108,+150,+116,+95,+89,+93,+99,+97,+120,+129,+126,+135,+132,+199,+158,+148,+141
Cameroon,+148,0,+21,0,+146,0,0,+171,+96,+88,+103,+84,0,+127,0,0,+245
Tunisia,+42,+42,+2,+13,+5,+17,+8,+9,+4,+17,+10,+18,+8,+5,+14,+4,+11
Ivory Coast,0,+34,+113,+46,+32,+37,+36,+52,+73,0,+73,+14,+19,+55,+37,+58,+29
Ghana,0,0,+193,+208,0,0,+112,0,+125,0,+271,0,+121,0,+403,0,+95
Djibouti,+156,+141,0,+114,0,+99,+29,+12,+13,+9,+15,+12,+37,+5,+12,+8,+15
Niger,0,+43,+12,+9,0,+9,+5,+9,+10,+3,+12,+5,+8,+4,+6,+9,+8
Burkina Faso,+4,+11,+8,+11,+5,+19,+9,+7,+13,0,+3,+3,+3,+3,+4,+4,+3
Nigeria,+35,+51,+49,+85,+38,+117,+91,+108,+114,+87,+91,+64,+195,+196,+204,+238,+218
Guinea,+34,+39,+41,+61,+43,+66,+73,+101,+92,+42,0,+167,+77,+111,+144,+42,+49
Réunion,+3,+8,+5,+1,0,+2,0,+2,0,+5,0,+1,0,+2,0,+2,+1
Senegal,+21,+7,+8,+17,+10,+35,+30,+37,+66,+69,+57,+65,+87,+59,+51,+91,+91
DRC,+13,+20,+20,+20,+5,+18,+9,+18,+17,+22,+26,+17,+12,+20,+81,+32,+70
Kenya,+9,+12,+16,+8,+11,+15,+7,+17,+16,+7,+12,+8,+11,+10,+12,+15,+24
Mali,+23,0,+45,+8,+22,+12,+35,+16,+16,+45,+19,+19,+16,+58,+8,+18,+36
Rwanda,+2,+5,+1,+3,0,+3,+3,+1,+22,+7,+8,+16,+5,+13,+18,+6,+6
Madagascar,+1,+6,+3,+1,0,0,0,0,+1,+1,+1,+4,0,0,0,+4,+3
Somalia,0,+36,+19,+29,+73,+49,0,+42,0,+62,+46,+44,+48,+54,+19,0,+70
Gabon,0,+28,0,+1,+11,+36,+10,+1,+5,+4,0,+35,+27,+38,0,0,+59
Liberia,0,+17,0,+15,+8,+2,0,0,+16,+3,+4,0,+17,0,0,+11,+2
Cabo Verde,0,0,+2,+3,+6,+1,+5,+9,+6,+2,+16,+3,+5,0,+8,+1,+30
Uganda,0,0,0,0,+1,+5,+2,+11,+1,0,+4,0,0,+2,+2,+2,+3
Zambia,0,+4,+5,+4,+4,+5,+4,+2,+8,0,+4,+1,+6,+2,+9,+3,+10
Sudan,0,+1,+33,0,+41,+33,0,+22,+12,+39,+24,+38,+43,+57,+67,0,+150
Chad,+4,0,+6,0,0,0,0,0,+7,+6,0,0,+6,0,+21,0,+44
Angola,0,0,+5,0,0,0,+1,0,0,0,+1,+1,0,0,0,+3,+5
Malawi,0,+1,0,0,0,+1,+5,+10,0,0,+1,+2,0,0,+1,0,+1
Eswatini,+1,0,+6,0,+2,+7,0,0,+5,+20,+3,+6,+6,+20,+9,+6,+2
Sierra Leone,+2,+11,+4,+5,+8,+7,+11,+3,+18,0,+11,+6,+5,0,+20,+12,+19
Gambia,0,0,0,+1,0,0,0,0,0,0,0,0,0,0,+1,+1,+5
Burundi,0,0,0,0,0,0,+6,0,0,0,0,0,0,0,0,0,+4
