Country_Other,April16,April17,April18,April19,April20,April21,April22,April23,April24,April25,April26,April27,April28,April29,April30,May01,May02,May03,May04,May05,May06,May07,May08,May09,May10,May11,May12,May13,May14,May15,May16,May17,May18,May19,May20,May21,May22,May23,May24,May25,May26,May27,May28,May29,May30,May31,June01,June02,June03,June04,June05,June06,June07,June08,June09,June10,June11,June12,June13
Egypt,+168,+171,+188,+112,+189,+157,+169,+232,+201,+227,+215,+248,+260,+226,+269,+358,+298,+272,+348,+388,+387,+393,+495,+488,+436,+346,+347,+338,+398,+399,+491,+510,+535,+720,+745,+774,+783,+727,+752,+702,+789,+910,"+1,127","+1,289","+1,367","+1,536","+1,399","+1,152","+1,079","+1,152","+1,348","+1,497","+1,467","+1,365","+1,385","+1,455","+1,442","+1,577","+1,677"
South Africa,+99,+178,+251,+124,+142,+165,+170,+318,+267,+141,+185,+247,+203,+354,+297,+304,+385,+447,+437,+352,+236,+424,+663,+525,+595,+637,+698,+724,+665,+785,+831,"+1,160",+918,+767,+803,"+1,134",+988,"+1,218","+1,240","+1,032",+649,"+1,673","+1,466","+1,837","+1,727","+1,716","+1,674","+1,455","+1,713","+3,267","+2,642","+2,539","+2,312","+2,594","+2,112","+2,430","+3,147","+3,359","+3,809"
Morocco,+259,+281,+121,+170,+191,+163,+237,+122,+190,+139,+168,+55,+132,+69,+102,+146,+160,+174,+150,+166,+189,+140,+163,+199,+153,+218,+137,+94,+95,+45,+89,+129,+82,+71,+110,+78,+121,+74,+27,+99,+45,+24,+42,+71,+66,+27,+26,+33,+56,+81,+68,+80,+73,+78,+135,+71,+29,+73,+82
Algeria,+108,+150,+116,+95,+89,+93,+99,+97,+120,+129,+126,+135,+132,+199,+158,+148,+141,+179,+174,+190,+159,+185,+187,+189,+165,+168,+176,+186,+189,+187,+192,+198,+182,+176,+165,+186,+190,+195,+193,+197,+194,+160,+140,+137,+133,+127,+119,+113,+107,+98,+104,+115,+104,+111,+117,+102,+105,+109,+112
Tunisia,+42,+42,+2,+13,+5,+17,+8,+9,+4,+17,+10,+18,+8,+5,+14,+4,+11,+4,+5,+4,+3,+1,+4,+2,0,0,0,0,0,+3,+2,0,+6,0,+2,+1,+2,0,0,+3,0,0,+17,+3,+5,+1,+7,+2,+1,0,0,0,0,0,0,0,0,+6,+1
Ivory Coast,0,+34,+113,+46,+32,+37,+36,+52,+73,0,+73,+14,+19,+55,+37,+58,+29,+36,+34,+32,+52,+55,+31,+65,+33,+30,+127,+55,+59,+46,+44,+48,+10,+34,+78,+70,+40,+25,+10,+47,+54,+79,+85,+109,+49,+34,+118,+73,+86,+152,+169,+126,+182,+142,+114,+186,+223,+280,+164
Ghana,0,0,+193,+208,0,0,+112,0,+125,0,+271,0,+121,0,+403,0,+95,0,+550,0,+372,0,+921,+251,0,+437,+427,+281,+122,+108,+97,0,0,+361,+173,0,+217,+131,+66,+125,+309,+186,0,+313,+152,+113,+189,+227,+251,+337,+283,+294,+176,+272,+291,0,+157,+498,+262
Djibouti,+156,+141,0,+114,0,+99,+29,+12,+13,+9,+15,+12,+37,+5,+12,+8,+15,0,+4,+4,+4,+9,+2,+54,+21,+17,+29,+12,+16,+25,+22,+70,+117,+100,+210,+219,+223,0,0,+198,0,+229,+217,0,+280,+160,+215,+210,+156,+119,+69,+46,+38,+71,+53,+42,+25,+43,+8
Niger,0,+43,+12,+9,0,+9,+5,+9,+10,+3,+12,+5,+8,+4,+6,+9,+8,+14,+5,+8,+7,+11,+14,+20,+6,+11,+22,+6,+16,+9,+4,+15,+5,+5,+6,+4,+13,+6,+2,+6,+1,0,+3,0,+1,+2,0,+2,+1,+2,+3,+4,+3,0,+1,0,0,+4,+2
Nigeria,+35,+51,+49,+85,+38,+117,+91,+108,+114,+87,+91,+64,+195,+196,+204,+238,+218,+170,+244,+148,+195,+381,+386,+239,+248,+242,+146,+184,+191,+288,+176,+338,+216,+226,+276,+339,+245,+265,+313,+229,+276,+389,+182,+387,+553,+307,+416,+241,+347,+350,+328,+389,+253,+315,+663,+409,+681,+627,+501
