Country_Other,April16,April17,April18,April19,April20
Egypt,+168,+171,+188,+112,+189
South Africa,+99,+178,+251,+124,+142
Morocco,+259,+281,+121,+170,+191
Algeria,+108,+150,+116,+95,+89
Cameroon,+148,0,+21,0,+146
Tunisia,+42,+42,+2,+13,+5
Ivory Coast,0,+34,+113,+46,+32
Burkina Faso,+4,+11,+8,+11,+5
Nigeria,+35,+51,+49,+85,+38
Senegal,+21,+7,+8,+17,+10
DRC,+13,+20,+20,+20,+5
Kenya,+9,+12,+16,+8,+11
Mali,+23,0,+45,+8,+22
Congo,0,+26,0,0,+17
Tanzania,+6,+53,0,+23,+84
Ethiopia,+7,+4,+9,+3,+3
Somalia,0,+36,+19,+29,+73
Gabon,0,+28,0,+1,+11
Liberia,0,+17,0,+15,+8
Cabo Verde,0,0,+2,+3,+6
Uganda,0,0,0,0,+1
Zambia,0,+4,+5,+4,+4
Benin,0,0,0,0,+19
Sudan,0,+1,+33,0,+41
Eswatini,+1,0,+6,0,+2
Sierra Leone,+2,+11,+4,+5,+8
