Country_Other,April16,April17,April18,April19,April20,April21
Egypt,+168,+171,+188,+112,+189,+157
South Africa,+99,+178,+251,+124,+142,+165
Morocco,+259,+281,+121,+170,+191,+163
Algeria,+108,+150,+116,+95,+89,+93
Tunisia,+42,+42,+2,+13,+5,+17
Ivory Coast,0,+34,+113,+46,+32,+37
Djibouti,+156,+141,0,+114,0,+99
Niger,0,+43,+12,+9,0,+9
Burkina Faso,+4,+11,+8,+11,+5,+19
Nigeria,+35,+51,+49,+85,+38,+117
Réunion,+3,+8,+5,+1,0,+2
Senegal,+21,+7,+8,+17,+10,+35
DRC,+13,+20,+20,+20,+5,+18
Kenya,+9,+12,+16,+8,+11,+15
Mayotte,+16,+12,+9,+17,0,+40
Mali,+23,0,+45,+8,+22,+12
Rwanda,+2,+5,+1,+3,0,+3
Congo,0,+26,0,0,+17,+5
Ethiopia,+7,+4,+9,+3,+3,+3
Togo,0,+2,+1,0,0,+2
Somalia,0,+36,+19,+29,+73,+49
Gabon,0,+28,0,+1,+11,+36
Liberia,0,+17,0,+15,+8,+2
Cabo Verde,0,0,+2,+3,+6,+1
Uganda,0,0,0,0,+1,+5
Equatorial Guinea,0,+28,0,0,0,+4
Libya,+1,0,0,+2,0,+8
Zambia,0,+4,+5,+4,+4,+5
Sudan,0,+1,+33,0,+41,+33
Zimbabwe,0,+1,+1,0,0,+3
Malawi,0,+1,0,0,0,+1
Eswatini,+1,0,+6,0,+2,+7
Sierra Leone,+2,+11,+4,+5,+8,+7
CAR,0,0,0,0,0,+2
