Country_Other,April16,April17,April18,April19,April20,April21,April22
Egypt,+168,+171,+188,+112,+189,+157,+169
South Africa,+99,+178,+251,+124,+142,+165,+170
Morocco,+259,+281,+121,+170,+191,+163,+237
Algeria,+108,+150,+116,+95,+89,+93,+99
Tunisia,+42,+42,+2,+13,+5,+17,+8
Ivory Coast,0,+34,+113,+46,+32,+37,+36
Ghana,0,0,+193,+208,0,0,+112
Djibouti,+156,+141,0,+114,0,+99,+29
Niger,0,+43,+12,+9,0,+9,+5
Burkina Faso,+4,+11,+8,+11,+5,+19,+9
Nigeria,+35,+51,+49,+85,+38,+117,+91
Guinea,+34,+39,+41,+61,+43,+66,+73
Senegal,+21,+7,+8,+17,+10,+35,+30
Mauritius,0,0,+1,+3,0,0,+1
DRC,+13,+20,+20,+20,+5,+18,+9
Kenya,+9,+12,+16,+8,+11,+15,+7
Mayotte,+16,+12,+9,+17,0,+40,+15
Mali,+23,0,+45,+8,+22,+12,+35
Rwanda,+2,+5,+1,+3,0,+3,+3
Congo,0,+26,0,0,+17,+5,+21
Tanzania,+6,+53,0,+23,+84,0,+30
Ethiopia,+7,+4,+9,+3,+3,+3,+2
Togo,0,+2,+1,0,0,+2,+2
Gabon,0,+28,0,+1,+11,+36,+10
Cabo Verde,0,0,+2,+3,+6,+1,+5
Uganda,0,0,0,0,+1,+5,+2
Equatorial Guinea,0,+28,0,0,0,+4,+1
Libya,+1,0,0,+2,0,+8,+1
Zambia,0,+4,+5,+4,+4,+5,+4
Mozambique,+2,+3,+1,+4,0,0,+2
Angola,0,0,+5,0,0,0,+1
Malawi,0,+1,0,0,0,+1,+5
Botswana,+2,0,0,+5,0,0,+2
Sierra Leone,+2,+11,+4,+5,+8,+7,+11
Burundi,0,0,0,0,0,0,+6
