Country_Other,April16,April17,April18,April19,April20,April21,April22,April23
Egypt,+168,+171,+188,+112,+189,+157,+169,+232
South Africa,+99,+178,+251,+124,+142,+165,+170,+318
Morocco,+259,+281,+121,+170,+191,+163,+237,+122
Algeria,+108,+150,+116,+95,+89,+93,+99,+97
Cameroon,+148,0,+21,0,+146,0,0,+171
Tunisia,+42,+42,+2,+13,+5,+17,+8,+9
Ivory Coast,0,+34,+113,+46,+32,+37,+36,+52
Djibouti,+156,+141,0,+114,0,+99,+29,+12
Niger,0,+43,+12,+9,0,+9,+5,+9
Burkina Faso,+4,+11,+8,+11,+5,+19,+9,+7
Nigeria,+35,+51,+49,+85,+38,+117,+91,+108
Guinea,+34,+39,+41,+61,+43,+66,+73,+101
Réunion,+3,+8,+5,+1,0,+2,0,+2
Senegal,+21,+7,+8,+17,+10,+35,+30,+37
Mauritius,0,0,+1,+3,0,0,+1,+2
DRC,+13,+20,+20,+20,+5,+18,+9,+18
Kenya,+9,+12,+16,+8,+11,+15,+7,+17
Mali,+23,0,+45,+8,+22,+12,+35,+16
Rwanda,+2,+5,+1,+3,0,+3,+3,+1
Somalia,0,+36,+19,+29,+73,+49,0,+42
Gabon,0,+28,0,+1,+11,+36,+10,+1
Cabo Verde,0,0,+2,+3,+6,+1,+5,+9
Uganda,0,0,0,0,+1,+5,+2,+11
Zambia,0,+4,+5,+4,+4,+5,+4,+2
Sudan,0,+1,+33,0,+41,+33,0,+22
Mozambique,+2,+3,+1,+4,0,0,+2,+5
Malawi,0,+1,0,0,0,+1,+5,+10
Sierra Leone,+2,+11,+4,+5,+8,+7,+11,+3
