Country_Other,April16,April17,April18,April19,April20,April21,April22,April23,April24
Egypt,+168,+171,+188,+112,+189,+157,+169,+232,+201
South Africa,+99,+178,+251,+124,+142,+165,+170,+318,+267
Morocco,+259,+281,+121,+170,+191,+163,+237,+122,+190
Algeria,+108,+150,+116,+95,+89,+93,+99,+97,+120
Cameroon,+148,0,+21,0,+146,0,0,+171,+96
Tunisia,+42,+42,+2,+13,+5,+17,+8,+9,+4
Ivory Coast,0,+34,+113,+46,+32,+37,+36,+52,+73
Ghana,0,0,+193,+208,0,0,+112,0,+125
Djibouti,+156,+141,0,+114,0,+99,+29,+12,+13
Niger,0,+43,+12,+9,0,+9,+5,+9,+10
Burkina Faso,+4,+11,+8,+11,+5,+19,+9,+7,+13
Nigeria,+35,+51,+49,+85,+38,+117,+91,+108,+114
Guinea,+34,+39,+41,+61,+43,+66,+73,+101,+92
Senegal,+21,+7,+8,+17,+10,+35,+30,+37,+66
DRC,+13,+20,+20,+20,+5,+18,+9,+18,+17
Kenya,+9,+12,+16,+8,+11,+15,+7,+17,+16
Mayotte,+16,+12,+9,+17,0,+40,+15,0,+28
Mali,+23,0,+45,+8,+22,+12,+35,+16,+16
Rwanda,+2,+5,+1,+3,0,+3,+3,+1,+22
Congo,0,+26,0,0,+17,+5,+21,0,+14
Madagascar,+1,+6,+3,+1,0,0,0,0,+1
Tanzania,+6,+53,0,+23,+84,0,+30,0,+15
Ethiopia,+7,+4,+9,+3,+3,+3,+2,0,+1
Togo,0,+2,+1,0,0,+2,+2,0,+2
Gabon,0,+28,0,+1,+11,+36,+10,+1,+5
Liberia,0,+17,0,+15,+8,+2,0,0,+16
Cabo Verde,0,0,+2,+3,+6,+1,+5,+9,+6
Uganda,0,0,0,0,+1,+5,+2,+11,+1
Equatorial Guinea,0,+28,0,0,0,+4,+1,0,+5
Libya,+1,0,0,+2,0,+8,+1,0,+1
Zambia,0,+4,+5,+4,+4,+5,+4,+2,+8
Guinea-Bissau,0,0,+3,+4,0,0,0,0,+2
Sudan,0,+1,+33,0,+41,+33,0,+22,+12
Mozambique,+2,+3,+1,+4,0,0,+2,+5,+19
Chad,+4,0,+6,0,0,0,0,0,+7
Zimbabwe,0,+1,+1,0,0,+3,0,0,+1
Eswatini,+1,0,+6,0,+2,+7,0,0,+5
Sierra Leone,+2,+11,+4,+5,+8,+7,+11,+3,+18
South Sudan,0,0,0,0,0,0,0,0,+1
