Country_Other,April16,April17,April18,April19,April20,April21,April22,April23,April24,April25
Egypt,+168,+171,+188,+112,+189,+157,+169,+232,+201,+227
South Africa,+99,+178,+251,+124,+142,+165,+170,+318,+267,+141
Morocco,+259,+281,+121,+170,+191,+163,+237,+122,+190,+139
Algeria,+108,+150,+116,+95,+89,+93,+99,+97,+120,+129
Cameroon,+148,0,+21,0,+146,0,0,+171,+96,+88
Tunisia,+42,+42,+2,+13,+5,+17,+8,+9,+4,+17
Djibouti,+156,+141,0,+114,0,+99,+29,+12,+13,+9
Niger,0,+43,+12,+9,0,+9,+5,+9,+10,+3
Nigeria,+35,+51,+49,+85,+38,+117,+91,+108,+114,+87
Guinea,+34,+39,+41,+61,+43,+66,+73,+101,+92,+42
Réunion,+3,+8,+5,+1,0,+2,0,+2,0,+5
Senegal,+21,+7,+8,+17,+10,+35,+30,+37,+66,+69
DRC,+13,+20,+20,+20,+5,+18,+9,+18,+17,+22
Kenya,+9,+12,+16,+8,+11,+15,+7,+17,+16,+7
Mayotte,+16,+12,+9,+17,0,+40,+15,0,+28,+26
Mali,+23,0,+45,+8,+22,+12,+35,+16,+16,+45
Rwanda,+2,+5,+1,+3,0,+3,+3,+1,+22,+7
Madagascar,+1,+6,+3,+1,0,0,0,0,+1,+1
Ethiopia,+7,+4,+9,+3,+3,+3,+2,0,+1,+5
Togo,0,+2,+1,0,0,+2,+2,0,+2,+6
Somalia,0,+36,+19,+29,+73,+49,0,+42,0,+62
Gabon,0,+28,0,+1,+11,+36,+10,+1,+5,+4
Liberia,0,+17,0,+15,+8,+2,0,0,+16,+3
Cabo Verde,0,0,+2,+3,+6,+1,+5,+9,+6,+2
Equatorial Guinea,0,+28,0,0,0,+4,+1,0,+5,+44
Sudan,0,+1,+33,0,+41,+33,0,+22,+12,+39
Mozambique,+2,+3,+1,+4,0,0,+2,+5,+19,+5
Chad,+4,0,+6,0,0,0,0,0,+7,+6
Zimbabwe,0,+1,+1,0,0,+3,0,0,+1,+2
Eswatini,+1,0,+6,0,+2,+7,0,0,+5,+20
