Country_Other,April16,April17,April18,April19,April20,April21,April22,April23,April24,April25,April26,April27,April28,April29,April30,May01,May02,May03,May04,May05,May06,May07,May08,May09,May10,May11,May12,May13,May14,May15,May16,May17,May18,May19,May20,May21,May22,May23,May24,May25,May26,May27,May28,May29,May30,May31,June01,June02,June03,June04,June05,June06,June07,June08,June09,June10,June11,June12,June13,June14,June15,June16,June17,June18
Djibouti,+156,+141,0,+114,0,+99,+29,+12,+13,+9,+15,+12,+37,+5,+12,+8,+15,0,+4,+4,+4,+9,+2,+54,+21,+17,+29,+12,+16,+25,+22,+70,+117,+100,+210,+219,+223,0,0,+198,0,+229,+217,0,+280,+160,+215,+210,+156,+119,+69,+46,+38,+71,+53,+42,+25,+43,+8,+16,+36,+38,+6,+12
Réunion,+3,+8,+5,+1,0,+2,0,+2,0,+5,0,+1,0,+2,0,+2,+1,0,+1,0,+1,+2,0,+5,+5,0,+1,+2,+1,+1,+2,0,+3,0,+1,+2,0,+3,0,+4,+3,+1,+5,+5,+1,0,+2,+4,+1,+1,+1,0,0,+1,0,+5,+1,+1,+1,+6,+1,0,+2,+5
Mauritius,0,0,+1,+3,0,0,+1,+2,0,0,+1,+2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+2,0,0,0,0,+1,0,0,0,0,0,0,+2,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya,+9,+12,+16,+8,+11,+15,+7,+17,+16,+7,+12,+8,+11,+10,+12,+15,+24,+30,+25,+45,+47,+25,+14,+28,+23,+28,+15,+22,+21,+23,+49,+57,+25,+51,+66,+80,+52,+31,+22,+72,+62,+123,+147,+127,+143,+74,+59,+72,+123,+124,+134,+126,+167,+95,+127,+105,+121,+90,+152,+137,+133,+133,+184,+213
Mayotte,+16,+12,+9,+17,0,+40,+15,0,+28,+26,+21,0,+59,0,+79,0,0,+54,+36,+53,0,+115,0,+134,+35,0,+72,+48,+67,0,+102,+30,+28,0,+105,0,+46,0,+66,+22,+25,+11,+25,+29,0,0,+235,+52,+7,+65,+21,0,0,+72,+24,+51,+14,+28,+14,+16,+12,+23,+12,+38
Rwanda,+2,+5,+1,+3,0,+3,+3,+1,+22,+7,+8,+16,+5,+13,+18,+6,+6,+4,+2,0,+7,+3,+2,+7,+4,+1,+1,+1,0,0,+2,+3,+5,+11,+6,+6,+1,+4,+2,+9,+3,+7,+3,+6,+4,+11,+7,+7,+13,+13,+10,+11,+8,+12,+12,+13,+18,+16,+31,+41,+30,+24,+3,+7
Madagascar,+1,+6,+3,+1,0,0,0,0,+1,+1,+1,+4,0,0,0,+4,+3,+14,0,+2,+7,+35,0,0,0,0,0,+26,+18,+8,+45,+21,+18,+4,+45,+34,+43,+40,+39,+15,+44,+26,+44,+42,+60,+13,+55,+19,+63,+49,+18,+51,+26,+42,+44,+24,+41,+27,+22,+20,+18,+27,+61,+25
Tanzania,+6,+53,0,+23,+84,0,+30,0,+15,0,0,0,0,+181,0,0,0,0,0,0,0,0,+29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia,+7,+4,+9,+3,+3,+3,+2,0,+1,+5,+1,+1,+2,+4,+1,+2,0,+2,+5,+5,+17,+29,+3,+16,+29,+11,+11,+2,+9,+15,+19,+11,+35,+13,+24,+10,+34,+61,+88,+73,+46,+30,+100,+137,+95,+109,+85,+87,+142,+150,+169,+129,+86,+136,+180,+170,+164,+245,+251,+179,+176,+109,+129,+195
Somalia,0,+36,+19,+29,+73,+49,0,+42,0,+62,+46,+44,+48,+54,+19,0,+70,+51,+34,+79,+38,+55,0,+69,+57,+35,+81,+49,+65,0,+73,+64,+34,+47,+71,+21,0,0,0,+95,+22,+20,+97,0,+88,+60,+47,+66,+57,+58,0,+85,+45,+34,+48,+36,+61,0,+66,+39,+24,+16,+38,+23
