Country_Other,April16,April17,April18,April19,April20,April21,April22,April23
Djibouti,+156,+141,0,+114,0,+99,+29,+12
Réunion,+3,+8,+5,+1,0,+2,0,+2
Mauritius,0,0,+1,+3,0,0,+1,+2
Kenya,+9,+12,+16,+8,+11,+15,+7,+17
Mayotte,+16,+12,+9,+17,0,+40,+15,0
Rwanda,+2,+5,+1,+3,0,+3,+3,+1
Madagascar,+1,+6,+3,+1,0,0,0,0
Tanzania,+6,+53,0,+23,+84,0,+30,0
Ethiopia,+7,+4,+9,+3,+3,+3,+2,0
Somalia,0,+36,+19,+29,+73,+49,0,+42
Uganda,0,0,0,0,+1,+5,+2,+11
Zambia,0,+4,+5,+4,+4,+5,+4,+2
Eritrea,0,0,+4,0,0,0,0,0
Sudan,0,+1,+33,0,+41,+33,0,+22
Mozambique,+2,+3,+1,+4,0,0,+2,+5
Malawi,0,+1,0,0,0,+1,+5,+10
Seychelles,0,0,0,0,0,0,0,0
Burundi,0,0,0,0,0,0,+6,0
South Sudan,0,0,0,0,0,0,0,0
