Country_Other,April16,April17,April18,April19,April20,April21,April22,April23,April24,April25,April26,April27,April28,April29,April30,May01,May02,May03,May04,May05,May06,May07,May08,May09,May10,May11,May12,May13,May14,May15,May16,May17,May18,May19,May20,May21,May22,May23,May24,May25,May26,May27,May28,May29,May30,May31,June01,June02,June03,June04,June05,June06,June07,June08,June09,June10,June11,June12,June13,June14,June15,June16,June17,June18,June19,June20,June21,June22,June23,June24,June25,June26,June27,June28,June29,June30,July01,July02,July03,July04,July05,July06,July07,July08,July09,July10,July11,July12,July13,July14,July15,July16,July17,July18,July19,July20,July21,July22,July23,July24,July25,July26,July27,July28,July29,July30,July31,August01,August02,August03,August04,August05,August06,August07,August08,August09,August10,August11,August12,August13,August14,August15,August16,August17,August18,August19,August20,August21,August22,August23,August24,August25,August26,August27,August28,August29,August30,August31,September01,September02,September03,September04,September05,September06,September07,September08,September09,September10,September11,September12,September13,September14,September15,September16,September17,September18,September19,September20,September21,September22,September23,September24,September25,September26,September27,September28,September29,September30,October01,October02,October03,October04,October05,October06,October07,October08,October09,October10,October11,October12,October13,October14,October15,October16,October17,October18,October19,October20,October21,October22,October23,October24,October25,October26,October27,October28,October29,October30,October31,November01,November02,November03,November04,November05,November06,November07,November08,November09,November10,November11,November12,November13,November14,November15,November16,November17,November18,November19,November20,November21,November22,November23,November24,November25,November26,November27,November28,November29,November30,December01,December02,December03,December04,December05,December06,December07,December08,December09,December10,December11,December12,December13,December14,December15,December16,December17,December18,December19,December20,December21,December22,December23,December24,December25,December26,December27,December28,December29,December30,December31,Jan01_2021,Jan02_2021,Jan03_2021,Jan04_2021,Jan05_2021,Jan06_2021,Jan07_2021,Jan08_2021,Jan09_2021,Jan10_2021,Jan11_2021,Jan12_2021,Jan13_2021,Jan14_2021,Jan15_2021,Jan16_2021,Jan17_2021,Jan18_2021,Jan19_2021,Jan20_2021
Ivory Coast,0,+34,+113,+46,+32,+37,+36,+52,+73,0,+73,+14,+19,+55,+37,+58,+29,+36,+34,+32,+52,+55,+31,+65,+33,+30,+127,+55,+59,+46,+44,+48,+10,+34,+78,+70,+40,+25,+10,+47,+54,+79,+85,+109,+49,+34,+118,+73,+86,+152,+169,+126,+182,+142,+114,+186,+223,+280,+164,+236,+355,+240,+384,+381,+430,+402,+216,+185,+227,+260,+170,+405,+205,+157,+113,+285,+203,+290,+252,+218,+310,+194,+228,+310,+246,+302,+391,+323,+106,+165,+366,+151,+142,+216,+207,+193,+219,+202,+268,+252,+241,+102,+59,+58,+100,+165,+69,+62,+73,+38,+73,+56,+98,+77,+96,+95,+83,+49,0,+42,+46,+58,+33,+81,+43,+82,+17,+61,+64,+97,+35,+56,+41,+99,+95,+96,+55,+119,+36,+58,+47,+61,+203,+116,+113,+77,+37,+54,+47,0,+26,+53,+34,+32,+26,+42,+69,+51,+7,+16,+87,+71,+55,+44,+29,+12,+28,+55,+31,+38,+56,+33,+3,+18,+32,+47,+54,+92,+26,+1,+28,+34,+40,+18,+26,+22,+1,+18,+21,+27,+15,+24,+41,+16,+2,+67,+73,+64,+24,0,+37,+12,+13,+11,+12,+12,+19,+3,+12,+8,+27,+17,+46,+31,+12,+16,+41,+38,+16,+27,+12,+10,+8,+12,+31,+33,+29,+49,+21,+3,+27,+28,+23,+29,+44,+22,+6,+34,+43,+28,+21,+41,+25,+70,+24,+31,+73,+45,+28,+14,+10,+42,+87,+10,0,+71,+24,+74,+116,+124,+73,0,+85,+152,+55,+108,+210,+81,+228,+268,+144,+292,+183,+209,+278,0,+213,+63,+79,+214
Ghana,0,0,+193,+208,0,0,+112,0,+125,0,+271,0,+121,0,+403,0,+95,0,+550,0,+372,0,+921,+251,0,+437,+427,+281,+122,+108,+97,0,0,+361,+173,0,+217,+131,+66,+125,+309,+186,0,+313,+152,+113,+189,+227,+251,+337,+283,+294,+176,+272,+291,0,+157,+498,+262,+846,0,+229,+397,+339,+274,+514,+290,+147,+414,+445,+460,+361,+597,+311,+609,+390,+393,0,"+1,254",0,+697,+992,+891,+854,+641,+371,+414,+270,+470,0,+442,+695,+447,+488,+607,+763,+559,+683,0,"+1,385",+794,"+1,118",+655,+782,+736,0,+359,"+1,513",0,+798,0,"+1,263",+567,+455,+436,+470,+209,+192,+168,+153,+122,+363,+322,+121,+340,+101,+166,+65,+180,0,+117,+95,+52,+72,+108,+169,+87,+93,+162,+198,+55,+64,0,0,+92,+143,+301,0,+75,+46,0,+167,+54,0,+59,+46,+117,+127,+58,0,+91,+69,0,0,+165,+57,+38,+144,+30,+38,+109,+26,0,0,0,+118,+40,+18,0,+25,+96,0,+47,0,+26,+111,+62,+89,0,+77,+63,+89,0,+85,0,0,+147,0,0,+69,+76,0,+132,+145,0,+116,+198,0,+100,0,+385,+61,0,+105,+253,0,+81,+174,0,+86,+157,+67,+243,+41,0,0,+105,+190,+98,0,0,0,+429,0,+178,0,+226,+122,+116,0,+195,0,+81,+110,+116,+167,+100,0,+203,+98,0,+89,0,+178,+65,+115,+102,+178,+90,0,+159,+134,+104,0,0,+160,+133,0,+311,0,+458,+191,+560,0,0,0,+297,+351,+366,0
Niger,0,+43,+12,+9,0,+9,+5,+9,+10,+3,+12,+5,+8,+4,+6,+9,+8,+14,+5,+8,+7,+11,+14,+20,+6,+11,+22,+6,+16,+9,+4,+15,+5,+5,+6,+4,+13,+6,+2,+6,+1,0,+3,0,+1,+2,0,+2,+1,+2,+3,+4,+3,0,+1,0,0,+4,+2,0,0,+36,+4,0,0,+15,+1,+10,+5,0,+5,+3,+3,+12,+1,0,0,+6,+1,0,+6,+5,+1,+3,0,+2,0,0,0,0,+1,+2,0,+2,0,+1,+8,+9,+2,0,0,+12,0,0,0,+2,0,+2,+11,+5,0,0,+1,0,+4,+1,0,0,+3,0,0,+4,+2,0,0,0,+2,+3,0,0,0,+1,0,0,+2,0,0,+1,0,0,+1,0,0,0,0,+1,0,0,0,0,+2,0,+2,0,+1,0,0,+5,+1,+4,0,+1,0,0,+2,0,0,+1,0,+1,+2,0,0,0,0,+1,0,0,0,+1,+1,+2,+2,+2,0,+1,+1,+1,+2,+1,0,0,0,0,+3,0,+1,+1,0,+1,+1,0,+3,+1,+4,+12,+1,+3,+10,+7,+19,+7,+12,+6,+9,+11,+4,+4,+5,+11,+17,+13,+25,+13,+24,+29,+12,+32,+32,+38,+54,0,+86,+63,+67,+38,+93,+91,+48,+34,+39,+59,+64,+39,0,+89,+54,+52,+47,+65,+79,+73,+57,+72,+52,+53,+49,+49,0,+115,+80,+34,+28,0,+35,+134,+72,+41,+72,+58,+47,+45,+29,+60,+47,+27,+24,+48,+21,+24
Burkina Faso,+4,+11,+8,+11,+5,+19,+9,+7,+13,0,+3,+3,+3,+3,+4,+4,+3,+10,+10,+16,+41,+7,+8,+4,+3,+9,+6,+7,0,+7,+2,+14,0,0,+13,+3,+2,0,0,+18,0,+13,+2,0,0,0,0,+34,+3,+1,+3,0,+1,+1,+1,0,+1,0,0,+2,0,+1,+4,0,+1,+1,+2,0,+4,+12,+15,+7,0,+18,0,+3,0,+5,+13,+7,0,+13,+3,0,+2,+15,+13,+3,0,+1,+1,0,+7,+2,+5,+13,0,+1,+4,+5,+11,0,+14,+5,0,+1,0,+37,0,+7,+3,0,+5,0,+17,0,+29,+7,+2,+15,+10,+2,+27,+13,0,+5,+12,0,0,+23,+18,0,+14,0,0,0,+5,+11,+2,0,+5,+33,0,+5,+11,+3,+10,+10,+13,+15,+193,+10,+16,+15,+19,+30,+19,+30,+50,+11,+22,+21,+12,+11,+35,+20,+4,+24,+32,+35,+31,+13,+17,+13,+25,+19,+13,+17,0,+23,+11,0,+30,+8,0,+38,+6,+19,0,+8,+19,+11,+7,+8,+7,0,+5,+6,+23,0,+17,+13,+9,+11,+12,+3,+4,+12,+1,+4,0,+23,+26,+6,+11,0,+18,+16,0,+17,+32,+19,+3,+20,0,+15,0,+40,+30,+45,+79,+52,+29,+65,+56,+103,+154,0,+110,0,+315,+136,+179,+91,+149,+162,+221,+122,+206,+141,+160,+188,+292,+193,+121,+89,0,+193,+94,+76,+121,+112,+111,+75,+216,+221,+150,+153,0,+216,+197,+184,+83,+263,+73,+118,+188,+164,0,+139
Nigeria,+35,+51,+49,+85,+38,+117,+91,+108,+114,+87,+91,+64,+195,+196,+204,+238,+218,+170,+244,+148,+195,+381,+386,+239,+248,+242,+146,+184,+191,+288,+176,+338,+216,+226,+276,+339,+245,+265,+313,+229,+276,+389,+182,+387,+553,+307,+416,+241,+347,+350,+328,+389,+253,+315,+663,+409,+681,+627,+501,+403,+573,+490,+587,+745,+667,+661,+436,+675,+452,+649,+594,+684,+779,+490,+566,+561,+790,+626,+454,+603,+544,+575,+503,+460,+499,+575,+664,+571,+595,+463,+643,+595,+600,+653,+556,+562,+576,+543,+604,+591,+438,+555,+648,+624,+404,+481,+462,+386,+304,+288,+304,+457,+354,+443,+453,+437,+290,+423,+453,+373,+329,+325,+298,+417,+410,+593,+476,+340,+601,+322,+321,+252,+221,+296,+160,+250,+138,+143,+239,+216,+125,+156,+162,+100,+155,+296,+176,+197,+188,+160,+79,+132,+90,+126,+131,+221,+189,+97,+195,+176,+111,+125,+213,+136,+126,+136,+187,+201,+153,+126,+160,+58,+120,+118,+155,+103,+151,+111,+163,+164,+225,+179,+148,+212,+113,+133,+118,+72,+37,+138,+77,+48,+62,+119,+113,+147,+150,+170,+162,+111,+72,+137,+155,+180,+223,+59,+300,+94,+152,+180,+212,+156,+112,+152,+157,+152,+236,+146,+143,+246,+155,+56,+168,+198,+169,+246,+110,+82,+145,+281,+122,+343,+324,+310,+318,+390,+550,+474,+675,+796,+617,+418,+199,+758,+930,"+1,145",+806,+920,+501,+356,+999,"+1,133","+1,041",+784,+829,+838,+397,+749,"+1,016","+1,031",+980,+576,+917,"+1,271","+1,354","+1,664","+1,565","+1,544","+1,585","+1,024","+1,244","+1,270","+1,398","+1,479","+1,867","+1,598","+1,444","+1,617","+1,301","+1,386"
Guinea,+34,+39,+41,+61,+43,+66,+73,+101,+92,+42,0,+167,+77,+111,+144,+42,+49,0,+124,+101,+45,+71,+82,+33,+104,0,+152,+76,+99,0,+185,0,+138,+67,0,+204,0,+109,+99,0,0,0,+278,+103,+50,0,+138,+42,+47,+58,+69,+57,0,+99,+42,0,+114,+54,+58,+48,+40,+67,+29,+173,+63,+56,+28,0,+52,+134,0,+86,+31,+51,+9,+40,+13,+46,+71,+49,+40,0,+26,+61,+184,+88,+75,+97,0,+59,+76,+83,+71,+61,+53,+46,+62,+95,+59,+61,+60,+81,+47,+71,+57,+59,+66,0,+9,+47,+125,+86,+89,+113,+98,+55,0,+88,+98,+82,+62,+83,+139,+138,+95,+77,+84,+56,0,+35,+109,+52,+39,+46,+38,0,+120,+38,+70,0,+53,+70,0,+149,+18,+32,+37,+61,+33,+41,+25,+16,+50,+43,0,+77,+55,+39,+19,+43,+47,0,+44,+34,+68,+18,+36,+18,0,+83,0,+19,+46,+63,0,+38,+53,+42,+26,+40,+72,+54,+67,+107,+116,+40,0,+20,+61,+36,0,0,0,0,+184,0,+201,+52,0,+123,+18,0,+118,+32,0,+37,+14,+45,+25,+32,+21,0,+48,+26,+13,+30,+59,0,+30,+55,+28,+15,+22,+66,+20,+90,0,0,+65,0,+24,+24,+19,+47,0,+18,0,+61,+43,+30,+22,0,+37,0,+17,+11,+26,+21,+13,+33,0,+20,+32,+16,+16,+12,+14,0,+19,+15,+16,+46,+4,+11,+46,0,+42,0,+38,+13,0,+36,+26,0,+14,+33,+16,+51,+42,0
Senegal,+21,+7,+8,+17,+10,+35,+30,+37,+66,+69,+57,+65,+87,+59,+51,+91,+91,+67,+89,+58,+104,+59,+59,+83,+75,+177,+109,+110,+84,+121,+119,+51,+64,+73,+97,+98,+97,+67,+71,+83,+31,+92,+95,+81,+106,+110,+94,+97,+96,+89,+134,+94,+79,+99,+89,+124,+119,+92,+145,+94,+83,+74,+122,+106,+164,+144,+105,+82,+64,+95,+104,+121,+105,+127,+112,+95,+132,+129,+110,+108,+128,+78,+69,+110,+127,+98,+132,+121,+63,+45,+126,+112,+63,+125,+141,+138,+37,+136,+145,+156,+130,+129,+83,+41,+156,+145,+126,+52,+60,+42,+46,+106,+177,+172,+116,+172,+137,+68,+207,+153,+132,+160,+130,+75,+68,+141,+113,+130,+161,+99,+64,+43,+130,+108,+90,+72,+100,+55,+44,+88,+83,+55,+67,+39,+27,+30,+58,+48,+43,+44,+43,+26,+223,+39,+50,+27,+43,+26,+24,+21,+36,+21,+23,+30,+40,+10,+26,+37,+37,+32,+17,+26,+28,+19,+33,+16,+23,+31,+24,+24,+15,+24,+17,+20,+24,+26,+14,+27,+25,+24,+17,+18,+8,+14,+6,+11,+11,+12,+11,+14,+7,+3,+10,+18,+8,+17,+15,+3,+9,+15,+9,+11,+24,+14,+8,+5,+17,+12,+13,+17,+17,+15,+11,+19,+33,+21,+46,+48,+14,+18,+66,+44,+80,+100,+80,+76,+43,+69,+101,+191,+40,+78,+71,+70,+120,+115,+108,+111,+88,+121,+66,+98,+157,+169,+154,+86,+119,+78,+139,+195,+224,+147,+186,+106,+161,+192,+220,+296,+328,+245,+288,+152,+198,+295,+218,+342,+290,+196,+168,+250
Mali,+23,0,+45,+8,+22,+12,+35,+16,+16,+45,+19,+19,+16,+58,+8,+18,+36,+19,+17,+32,+19,+19,+18,+24,+12,+8,+18,+28,+21,+27,+29,+25,+14,+27,+30,+16,+22,+46,+15,+29,+18,+39,+78,+32,+24,+15,+50,+36,+35,+75,+24,+38,+10,+14,+39,+81,+55,+30,+24,+33,+51,+25,+5,+16,+17,0,+10,+28,+17,+27,+34,+21,+58,+29,+26,+8,+21,+58,+25,+18,+27,+1,+17,+10,+12,+34,+2,+5,+1,+11,+10,+7,+27,+5,+3,0,+2,+17,0,+9,0,+7,+3,+7,+1,+1,+13,0,+6,+2,0,+3,+6,+9,+4,+2,+6,+4,+5,+15,0,+17,+26,0,+26,+1,0,+21,+11,+6,+3,+5,+4,+13,+6,+21,+16,+3,+1,+25,+5,+7,+19,+9,+28,+12,+16,+11,+3,+4,+8,+11,+5,+26,0,+25,+15,+7,+11,+6,+4,+7,+23,+16,+6,+4,+11,+17,+13,+25,+14,+14,+5,+6,+15,+25,+13,+25,+13,+10,+1,+55,+16,+10,+1,+9,+19,+4,+17,+12,+4,+28,+18,+9,+16,+15,+7,+8,+9,+11,+8,+11,+25,+24,+24,+19,+30,+6,+33,+8,+39,+14,+62,+32,+48,+32,+53,+60,+76,+37,+49,+71,+91,+44,+44,+62,+92,+29,+22,+52,+75,+43,+58,+124,+73,+155,+152,+27,+107,+73,+72,+93,+22,+42,+91,+80,+71,+44,+27,+41,+59,+56,+94,+47,+86,+55,+74,+93,+233,+61,+113,+23,+27,+7,+89,+46,+32,+85,+53,+35,+64,+23,+51,+21,+41,+23,+16,+16,+25,+17
Togo,0,+2,+1,0,0,+2,+2,0,+2,+6,+2,0,+1,+10,+7,+7,0,+1,+2,+2,0,+7,+10,+8,+21,+7,+18,+20,+19,+25,+35,+3,+29,+8,+2,+14,+9,+10,+8,+5,+5,+4,+27,+6,+5,+9,+1,+2,+7,+13,+20,+2,+8,+2,+4,+21,+2,+1,+5,0,+1,+6,+7,+3,+8,+6,+8,0,+7,+7,+5,+3,+24,+27,+1,+7,+11,+6,+4,+5,+4,0,+9,+6,+9,+6,0,+10,+1,+10,+9,+9,+17,+8,+4,+5,+7,+16,+22,+11,+14,+15,+6,+22,0,+12,+33,+17,+3,+15,+12,+13,+11,+16,+18,+14,+7,+3,+22,+12,+20,+6,+17,+7,+19,+17,+22,+27,+36,+2,+18,+14,+17,0,+39,+25,+6,+4,+16,+18,+9,+14,+20,+11,+5,+20,+15,+9,+11,+7,+17,+6,+17,+13,+10,+22,+19,+7,+3,+14,+18,+6,+15,+14,+7,+6,+10,+25,+25,+9,+22,+14,+10,+17,+17,+9,+14,+14,+5,+9,+23,+11,+13,+31,+22,+8,+14,+33,+16,+19,+23,+25,+13,+4,+25,+9,+58,+16,+19,+26,+7,+17,+25,+36,+18,+23,+33,+7,+35,+35,+12,+22,+24,+24,+18,+29,+30,+19,+25,+33,+14,+11,+18,+17,+15,+22,+20,+16,+12,+23,+17,+25,+12,+34,+10,+16,+21,+19,+31,+20,+19,+30,+15,+29,+20,+15,+20,+46,+20,+20,+31,+27,+26,+26,+9,0,+21,+28,+7,+22,+29,+21,+19,+20,+48,+37,+38,+49,+38,+25,+21,+67,+64,+56,+55,+52,+30,+22,+59,+76
Liberia,0,+17,0,+15,+8,+2,0,0,+16,+3,+4,0,+17,0,0,+11,+2,+4,+8,+4,+8,+11,+10,0,0,+12,0,+2,+2,+4,+4,+3,+3,+4,+5,+2,+9,+6,+10,0,+1,0,+3,+4,+7,+8,+8,+15,+5,+5,+13,+11,+14,+11,+13,+14,+13,+11,+25,+12,+40,+11,+7,+26,+39,+20,+25,+24,+2,+10,+19,+3,+45,+39,+2,+10,+24,+15,+14,+36,+5,+17,+26,+9,+31,+6,+35,+12,+14,0,+18,+14,+15,+3,+3,+16,+1,+6,+3,+18,+20,+7,+5,+10,+2,+2,+5,+3,+18,+7,+2,+5,+3,+6,+4,+3,+3,+10,+2,0,0,+5,0,+20,+5,0,+2,+1,+1,0,+4,+5,+3,0,0,+6,0,0,+1,0,+1,0,0,+1,+4,0,+2,+2,0,+1,+3,+2,+6,+5,+1,+1,+1,0,+1,0,+1,+1,0,0,+1,+3,+1,0,0,+3,+1,+1,+6,0,+1,+5,0,+3,0,+8,0,+1,+2,+3,0,0,+4,+3,+1,0,+8,0,0,+23,+3,0,+7,0,0,0,+10,0,+2,+2,+2,0,0,+4,+9,0,+7,+23,+7,+9,+5,0,+5,+11,+12,0,0,0,0,+8,+13,+4,0,0,0,0,0,+68,+13,0,0,0,0,0,0,0,0,0,0,0,0,+6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+4,+1,+1,+4,+5,0,+9,+2,+3
