Country_Other,April16,April17,April18,April19,April20,April21,April22
Ivory Coast,0,+34,+113,+46,+32,+37,+36
Ghana,0,0,+193,+208,0,0,+112
Niger,0,+43,+12,+9,0,+9,+5
Burkina Faso,+4,+11,+8,+11,+5,+19,+9
Nigeria,+35,+51,+49,+85,+38,+117,+91
Guinea,+34,+39,+41,+61,+43,+66,+73
Senegal,+21,+7,+8,+17,+10,+35,+30
Mali,+23,0,+45,+8,+22,+12,+35
Togo,0,+2,+1,0,0,+2,+2
Liberia,0,+17,0,+15,+8,+2,0
Cabo Verde,0,0,+2,+3,+6,+1,+5
Guinea-Bissau,0,0,+3,+4,0,0,0
Benin,0,0,0,0,+19,0,0
Sierra Leone,+2,+11,+4,+5,+8,+7,+11
Gambia,0,0,0,+1,0,0,0
Mauritania,0,0,0,0,0,0,0
