Country_Other,April16,April17,April18,April19,April20,April21,April22,April23,April24
Ivory Coast,0,+34,+113,+46,+32,+37,+36,+52,+73
Ghana,0,0,+193,+208,0,0,+112,0,+125
Niger,0,+43,+12,+9,0,+9,+5,+9,+10
Burkina Faso,+4,+11,+8,+11,+5,+19,+9,+7,+13
Nigeria,+35,+51,+49,+85,+38,+117,+91,+108,+114
Guinea,+34,+39,+41,+61,+43,+66,+73,+101,+92
Senegal,+21,+7,+8,+17,+10,+35,+30,+37,+66
Mali,+23,0,+45,+8,+22,+12,+35,+16,+16
Togo,0,+2,+1,0,0,+2,+2,0,+2
Liberia,0,+17,0,+15,+8,+2,0,0,+16
Cabo Verde,0,0,+2,+3,+6,+1,+5,+9,+6
Guinea-Bissau,0,0,+3,+4,0,0,0,0,+2
Benin,0,0,0,0,+19,0,0,0,0
Sierra Leone,+2,+11,+4,+5,+8,+7,+11,+3,+18
Gambia,0,0,0,+1,0,0,0,0,0
Mauritania,0,0,0,0,0,0,0,0,0
