Country_Other,April16,April17,April18,April19,April20,April21,April22,April23,April24,April25,April26,April27,April28,April29
Ivory Coast,0,+34,+113,+46,+32,+37,+36,+52,+73,0,+73,+14,+19,+55
Ghana,0,0,+193,+208,0,0,+112,0,+125,0,+271,0,+121,0
Niger,0,+43,+12,+9,0,+9,+5,+9,+10,+3,+12,+5,+8,+4
Burkina Faso,+4,+11,+8,+11,+5,+19,+9,+7,+13,0,+3,+3,+3,+3
Nigeria,+35,+51,+49,+85,+38,+117,+91,+108,+114,+87,+91,+64,+195,+196
Guinea,+34,+39,+41,+61,+43,+66,+73,+101,+92,+42,0,+167,+77,+111
Senegal,+21,+7,+8,+17,+10,+35,+30,+37,+66,+69,+57,+65,+87,+59
Mali,+23,0,+45,+8,+22,+12,+35,+16,+16,+45,+19,+19,+16,+58
Togo,0,+2,+1,0,0,+2,+2,0,+2,+6,+2,0,+1,+10
Liberia,0,+17,0,+15,+8,+2,0,0,+16,+3,+4,0,+17,0
Cabo Verde,0,0,+2,+3,+6,+1,+5,+9,+6,+2,+16,+3,+5,0
Guinea-Bissau,0,0,+3,+4,0,0,0,0,+2,0,+1,+20,0,+132
Benin,0,0,0,0,+19,0,0,0,0,0,+10,0,0,0
Sierra Leone,+2,+11,+4,+5,+8,+7,+11,+3,+18,0,+11,+6,+5,0
Gambia,0,0,0,+1,0,0,0,0,0,0,0,0,0,0
Mauritania,0,0,0,0,0,0,0,0,0,0,0,0,0,+1
