Country_Other,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious_Critical,tot_cases_per1M_pop,Deaths_per_1M_Pop,Total_Tests,Tests_per_1M_Pop
World,"241,152,444","+345,114","4,909,676","+5,381","218,396,978","17,845,790","79,125","30,938",629.9,0,0
China,"96,502",+14,"4,636",0,"91,345",521,1,67,3,"160,000,000","111,163"
USA,"45,774,175","+33,910","744,385",+464,"35,352,343","9,677,447","15,340","137,251","2,232","668,375,712","2,004,089"
India,"34,066,760","+14,073","452,156",+146,"33,412,138","202,466","8,944","24,377",324,"589,835,258","422,066"
Brazil,"21,638,726","+11,250","603,199",+472,"20,783,940","251,587","8,318","100,876","2,812","63,776,166","297,314"
UK,"8,404,469","+43,423","138,527",+148,"6,879,735","1,386,207",783,"122,969","2,027","318,440,917","4,659,249"
Russia,"7,958,384","+33,208","222,315","+1,002","6,981,907","754,162","2,300","54,504","1,523","200,000,000","1,369,720"
Turkey,"7,630,163","+28,537","67,437",+212,"7,065,363","497,363",633,"89,232",789,"91,673,202","1,072,090"
France,"7,085,274","+4,899","117,260",+15,"6,877,074","90,940","1,200","108,238","1,791","146,046,715","2,231,088"
Iran,"5,773,419","+7,515","123,876",+181,"5,309,992","339,551","4,840","67,622","1,451","32,619,228","382,055"
Argentina,"5,272,151",+790,"115,663",+3,"5,138,645","17,843",789,"115,288","2,529","24,478,432","535,276"
Spain,"4,984,386",0,"86,974",0,"4,825,794","71,618",454,"106,554","1,859","66,213,858","1,415,487"
Colombia,"4,980,233","+1,544","126,830",+34,"4,823,881","29,522",342,"96,550","2,459","26,239,711","508,699"
Italy,"4,715,464","+2,983","131,517",+14,"4,505,876","78,071",352,"78,139","2,179","97,343,369","1,613,059"
Germany,"4,386,414","+8,515","95,444",+28,"4,141,500","149,470","1,336","52,139","1,134","73,348,901","871,856"
Indonesia,"4,234,011",+997,"142,933",+44,"4,072,332","18,746",0,"15,271",516,"43,184,677","155,760"
Mexico,"3,749,860","+5,286","284,008",+434,"3,108,714","357,138","4,798","28,695","2,173","11,035,519","84,448"
Poland,"2,937,067","+3,234","76,111",+44,"2,674,093","186,863",281,"77,714","2,014","21,507,393","569,082"
South Africa,"2,916,179",+619,"88,587",+25,"2,804,676","22,916",546,"48,383","1,470","18,151,283","301,155"
Philippines,"2,713,455","+7,718","40,580",+156,"2,587,815","85,060","3,194","24,345",364,"22,136,003","198,600"
Ukraine,"2,623,882","+12,983","60,414",+277,"2,322,456","241,012",177,"60,466","1,392","13,524,231","311,658"
Malaysia,"2,384,542","+7,509","27,858",+88,"2,261,289","95,395",694,"72,478",847,"32,402,402","984,865"
Peru,"2,189,165",+814,"199,816",+24,0,0,994,"65,224","5,953","18,501,179","551,227"
Netherlands,"2,044,039","+3,702","18,242",+5,"1,960,877","64,920",134,"118,952","1,062","17,632,552","1,026,115"
Iraq,"2,033,737","+1,077","22,738",+25,"1,964,673","46,326",262,"49,143",549,"15,521,023","375,050"
Thailand,"1,772,838","+10,648","18,205",+82,"1,647,255","107,378","3,324","25,317",260,"9,201,621","131,403"
Japan,"1,713,799",+528,"18,078",+27,"1,687,306","8,415",335,"13,604",144,"25,725,966","204,212"
Czechia,"1,707,768","+1,789","30,542",+8,"1,661,912","15,314",87,"159,090","2,845","39,263,872","3,657,688"
Canada,"1,678,516","+1,643","28,482",+14,"1,614,746","35,288",752,"43,976",746,"44,836,340","1,174,686"
Chile,"1,669,236","+1,689","37,597",+3,"1,621,210","10,429",380,"86,365","1,945","22,673,969","1,173,129"
Bangladesh,"1,565,174",+293,"27,752",+6,"1,527,333","10,089","1,404","9,383",166,"10,076,825","60,411"
Romania,"1,445,714","+15,239","41,482",+350,"1,231,401","172,831","1,739","75,803","2,175","13,858,256","726,629"
Israel,"1,315,478","+1,265","7,981",+5,"1,287,403","20,094",382,"141,055",856,"28,158,919","3,019,399"
Belgium,"1,279,869","+3,648","25,747",+15,"1,186,374","67,748",193,"109,816","2,209","20,730,999","1,778,769"
Pakistan,"1,263,664",+893,"28,252",+24,"1,208,438","26,974","2,013","5,581",125,"20,151,188","89,002"
Sweden,"1,161,933",0,"14,916",0,"1,129,024","17,993",26,"114,133","1,465","12,879,376","1,265,105"
Portugal,"1,079,341",+612,"18,088",+10,"1,031,142","30,111",59,"106,252","1,781","19,249,013","1,894,899"
Serbia,"1,043,758","+6,051","9,052",+56,"908,806","125,900",278,"120,083","1,041","5,984,140","688,470"
Morocco,"941,863",+417,"14,537",+4,"921,430","5,896",347,"25,134",388,"9,920,819","264,736"
Cuba,"932,768","+1,946","8,037",+19,"915,893","8,838",276,"82,417",710,"10,142,313","896,147"
Kazakhstan,"914,699","+1,900","11,700",+28,"856,930","46,069",221,"47,975",614,"11,575,012","607,097"
Vietnam,"860,860","+3,221","21,131",+88,"790,504","49,225",0,"8,743",215,"42,517,091","431,787"
Switzerland,"854,590",0,"11,171",0,"807,592","35,827",117,"97,821","1,279","11,314,175","1,295,085"
Jordan,"840,117",+573,"10,865",+6,"814,380","14,872",492,"81,299","1,051","10,518,956","1,017,927"
Hungary,"833,115",0,"30,351",0,"790,646","12,118",124,"86,524","3,152","7,127,710","740,258"
Nepal,"804,652",+136,"11,278",+1,"780,776","12,598",0,"26,991",378,"4,313,858","144,704"
Austria,"773,540","+2,397","11,161",+10,"740,910","21,469",216,"85,260","1,230","92,324,938","10,176,152"
UAE,"738,487",+115,"2,118",0,"732,142","4,227",0,"73,522",211,"88,985,332","8,859,197"
Tunisia,"710,773",+100,"25,085",+3,"684,116","1,572",135,"59,340","2,094","3,020,410","252,163"
Greece,"692,197","+2,301","15,348",+31,"648,324","28,525",361,"66,832","1,482","23,121,581","2,232,390"
Georgia,"657,753","+5,076","9,440",+44,"609,987","38,326",0,"165,294","2,372","9,547,578","2,399,321"
Lebanon,"633,355",+574,"8,419",+6,"607,760","17,176",200,"93,333","1,241","4,780,275","704,434"
Guatemala,"586,318","+1,705","14,236",+32,"558,054","14,028",5,"31,965",776,"2,744,895","149,649"
Belarus,"570,006","+2,068","4,386",+17,"543,072","22,548",0,"60,348",464,"9,076,450","960,948"
Costa Rica,"551,144",0,"6,797",0,"470,056","74,291",369,"106,933","1,319","2,471,064","479,438"
Saudi Arabia,"547,890",+45,"8,760",+2,"536,900","2,230",110,"15,428",247,"29,701,762","836,381"
