Country_Other,April16,April17,April18,April19,April20,April21,April22,April23,April24,April25,April26,April27,April28,April29,April30,May01,May02,May03,May04,May05,May06,May07,May08,May09,May10,May11,May12,May13,May14,May15,May16,May17,May18,May19,May20,May21,May22,May23,May24,May25,May26,May27,May28,May29,May30,May31,June01,June02,June03,June04,June05,June06,June07,June08,June09,June10,June11,June12,June13,June14,June15,June16,June17,June18,June19,June20,June21,June22,June23,June24,June25,June26,June27,June28,June29,June30,July01,July02,July03,July04,July05,July06,July07,July08,July09,July10,July11,July12,July13,July14,July15,July16,July17,July18,July19,July20,July21,July22,July23,July24,July25,July26,July27,July28,July29,July30,July31,August01,August02,August03,August04,August05,August06,August07,August08,August09,August10,August11,August12,August13,August14,August15,August16,August17,August18,August19,August20,August21,August22,August23,August24,August25,August26,August27,August28,August29,August30,August31,September01,September02,September03,September04,September05,September06,September07,September08,September09,September10,September11,September12,September13,September14,September15,September16,September17,September18,September19,September20,September21,September22,September23,September24,September25,September26,September27,September28,September29,September30,October01,October02,October03,October04,October05,October06,October07,October08,October09,October10,October11,October12,October13,October14,October15,October16,October17,October18,October19,October20,October21,October22,October23,October24,October25,October26,October27,October28,October29,October30,October31,November01,November02,November03,November04,November05,November06,November07,November08,November09,November10,November11,November12,November13,November14,November15,November16,November17,November18,November19,November20,November21,November22,November23,November24,November25,November26,November27,November28,November29,November30,December01,December02,December03,December04,December05,December06,December07,December08,December09,December10,December11,December12,December13,December14,December15,December16,December17,December18,December19,December20,December21,December22,December23,December24,December25,December26,December27,December28,December29,December30,December31,Jan01_2021,Jan02_2021,Jan03_2021,Jan04_2021,Jan05_2021,Jan06_2021,Jan07_2021,Jan08_2021,Jan09_2021,Jan10_2021,Jan11_2021,Jan12_2021,Jan13_2021,Jan14_2021,Jan15_2021,Jan16_2021,Jan17_2021,Jan18_2021,Jan19_2021,Jan20_2021,Jan21_2021,Jan22_2021,Jan23_2021,Jan24_2021,Jan25_2021,Jan26_2021,Jan27_2021,Jan28_2021,Jan29_2021,Jan30_2021,Jan31_2021,Feb01_2021,Feb02_2021,Feb03_2021,Feb04_2021,Feb05_2021,Feb06_2021
World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,"62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163","111,163"
USA,"10,266","10,792","11,245","11,666","12,164","12,651","13,067","14,189","15,153","15,949","16,527","17,211","17,885","18,549","19,311","20,241","20,940","21,742","22,545","23,347","24,185","25,068","26,092","26,943","28,533","29,063","30,017","31,027","32,166","33,532","36,127","35,903","37,188","38,229","39,354","40,627","42,050","43,404","44,587","45,910","46,951","47,988",312,"50,814","52,203","53,417","54,859","56,228","57,718","59,142","61,255","62,919","64,349","65,657","66,912","68,377","69,729","71,900","73,410","74,927","76,329","77,749","79,302","80,750","82,604","84,532","86,090","87,664","89,292","90,823","92,854","94,726","96,675","98,469","100,271","103,317","105,302","107,362","109,653","111,634","113,588","115,449","117,211","119,257","121,314","123,877","126,171","128,281","130,645","132,993","135,430","138,021","140,773","143,759","146,002","148,477","150,745","153,217","155,688","158,610","161,120","163,736","166,145","168,520","171,171","173,695","176,923","178,841","180,977","184,000","186,055","188,353","190,640","192,922","195,075","197,556","199,803","202,106","203,940","206,876","209,401","212,002","214,220","216,412","218,461","220,715","222,984","225,547","227,827","229,889","232,071","235,230","237,343","239,874","242,367","244,786","246,978","249,373","251,558","253,812","256,172","259,228","261,830","263,986","265,771","267,545","269,430","271,543","274,136","276,720","278,828","280,293","282,526","284,746","287,354","290,332","293,607","296,185","298,423","300,748","303,459","306,453","309,378","312,475","314,762","317,974","320,297","324,403","327,100","330,529","333,407","336,250","339,360","341,816","344,343","347,912","351,388","354,710","357,375","360,418","363,507","366,648","370,045","373,179","376,358","379,040","383,176","385,515","387,967","391,442","395,212","398,679","401,751","405,504","408,359","422,735","427,174","431,030","434,750","437,309","451,345","454,818","458,433","463,082","467,759","471,991","475,143","480,206","484,150","488,128","492,754","497,835","502,676","506,903","512,866","517,544","522,190","527,452","533,992","539,659","544,573","550,464","555,660","560,928","564,041","570,500","575,745","579,476","587,409","591,310","602,450","608,054","614,417","620,307","625,164","631,309","636,420","642,177","648,203","654,450","661,408","666,491","672,471","677,747","683,049","688,785","695,423","700,777","705,648","712,877","718,193","723,444","729,256","732,550","739,393","743,203","750,437","753,609","758,397","763,737","767,159","773,370","777,640","783,828","788,772","793,764","799,501","805,717","811,743","817,308","823,399","830,036","835,573","841,661","848,683","854,521","860,351","866,606","872,686","878,010","883,992","889,931","895,510","900,568","906,683","911,918","916,575","922,705","928,543","935,045","939,773","945,956","950,205","954,631","959,568","965,297","970,567"
Spain,"19,896","19,896","19,896","19,896","19,896","19,896","19,896","19,896","19,896","19,896","25,656","28,779","28,779","30,253","31,126","32,699","32,699","41,332","41,332","41,332","41,332","41,332","41,332","52,781","52,781","52,781","52,781","52,781","52,784","52,783","64,977","64,977","64,977","64,977","64,977","64,977","64,977","64,976","76,071","76,071","76,071","76,071",580,"76,071","76,071","86,921","86,921","86,921","86,921","86,921","86,920","86,920","86,920","95,508","95,508","95,507","95,507","95,507","95,507","95,507","103,232","103,232","103,232","103,232","103,232","103,231","110,426","110,426","110,426","110,426","110,426","110,426","110,426","110,425","110,425","116,544","116,544","116,544","116,543","116,543","116,543","122,652","122,652","122,652","122,651","122,651","122,651","122,651","128,893","128,893","128,893","128,892","128,892","128,892","128,892","128,892","135,188","135,188","135,188","135,188","135,188","135,187","135,187","142,835","142,835","142,835","142,834","142,834","142,834","142,834","151,087","151,087","151,087","151,087","151,087","151,087","159,806","159,806","159,806","159,806","159,805","159,805","159,805","170,147","170,147","170,147","170,147","170,147","170,147","170,146","182,162","182,162","182,162","182,161","182,161","182,161","182,161","196,979","196,979","196,979","196,979","196,979","196,978","196,978","213,595","213,595","213,595","213,594","213,594","213,594","213,594","230,051","230,050","230,050","230,050","230,050","230,049","230,049","252,797","252,797","252,796","252,796","252,796","252,795","252,795","272,117","272,117","272,116","272,116","272,116","272,116","272,115","292,769","292,769","292,769","292,768","292,768","292,768","292,767","312,034","312,034","312,034","312,033","312,033","312,033","312,032","331,545","331,545","331,545","331,544","331,544","331,544","331,543","356,926","356,925","356,925","356,925","356,924","356,924","356,923","386,480","386,479","386,479","386,479","386,478","386,478","386,477","414,751","414,750","414,750","414,749","414,749","414,748","414,748","443,569","443,569","443,568","443,568","443,568","443,567","443,567","468,698","468,697","468,697","468,696","468,696","468,695","468,695","491,693","491,693","491,692","491,692","491,691","491,691","491,690","515,395","515,395","515,394","515,393","515,393","515,392","515,392","532,870","532,870","532,869","532,869","532,868","532,867","532,867","555,808","555,808","555,807","555,807","555,806","555,805","555,805","577,714","577,714","577,713","577,712","577,712","577,711","577,711","595,314","595,313","595,313","595,312","595,311","595,311","595,310","615,320","615,320","615,319","615,318","615,318","615,317","615,316","645,041","645,041","645,040","645,039","645,039","645,038","645,037","684,863","684,863","684,862","684,861","684,861","684,860","684,859","724,922","724,921","724,920","724,919","724,919","724,918"
Italy,"19,490","20,577","21,598","22,436","23,122","23,985","25,028","26,131","27,164","28,245","29,071","29,600","30,547","31,603","32,735","33,962","34,879","35,622","36,244","37,158","38,221","39,385","40,440","41,584","42,439","43,112","44,221","45,246","46,426","47,553","48,698","49,692","50,294","51,338","52,450","53,635","54,882","56,080","57,003","57,586","58,540","59,654",548,"62,102","63,249","64,144","64,664","65,527","66,144","66,970","68,046","69,245","70,063","70,064","71,422","72,459","73,493","74,661","75,484","76,419","76,884","77,660","78,945","79,908","80,859","81,765","82,436","82,915","83,585","84,466","85,394","86,267","87,282","87,900","88,351","89,149","90,066","90,946","92,222","92,636","93,256","93,623","94,338","95,173","96,043","96,836","97,596","98,229","98,626","99,319","100,120","100,955","101,795","102,594","103,182","103,583","104,297","105,113","106,111","106,994","107,849","108,520","108,943","109,740","110,667","111,691","112,823","113,698","114,415","114,813","115,537","116,472","117,443","118,422","119,305","119,928","120,365","121,038","121,910","122,757","123,530","124,410","125,019","125,527","126,420","127,597","128,878","130,070","131,355","132,471","133,231","134,428","135,976","137,532","139,138","140,778","142,131","143,017","144,358","146,062","147,598","149,469","151,251","152,523","153,393","154,922","156,511","158,070","159,706","161,241","162,435","163,185","164,518","166,183","167,868","169,520","171,229","172,610","173,535","174,980","176,696","178,484","180,259","181,987","183,439","184,286","185,778","187,526","189,483","191,474","193,443","194,977","195,975","197,626","199,700","201,821","203,964","206,167","207,899","209,314","211,177","213,696","216,393","218,882","221,627","224,052","225,689","228,085","231,029","233,849","236,862","239,803","242,483","244,547","247,434","250,727","254,061","257,621","261,195","264,232","266,479","269,496","273,003","276,642","280,520","284,355","287,519","289,965","293,569","297,304","301,189","305,409","309,178","312,411","314,938","318,389","322,277","326,418","330,359","334,287","337,412","339,878","343,001","346,809","350,662","354,350","358,091","361,021","363,182","366,197","369,627","373,381","376,792","380,021","382,729","384,571","387,043","389,005","391,846","394,999","398,252","400,781","402,497","405,194","408,523","411,592","410,716","413,634","415,910","417,366","420,119","423,023","426,232","428,755","430,102","431,099","432,238","434,370","437,170","440,250","442,859","443,973","445,679","446,972","449,210","452,168","454,177","456,501","459,351","461,667","463,186","465,532","468,438","471,098","475,627","479,944","483,451","486,080","490,287","494,920","499,351","503,735","508,477","512,058","514,429","518,406","523,271","527,828","532,285","537,221","540,755","543,115","547,163","551,789","556,263","560,743","565,420"
France,"5,114","7,103","7,103","7,103","7,103","7,103","7,103","7,103","7,103","7,103","7,103","7,103","7,103","7,103","11,101","16,856","16,856","16,856","16,856","16,856","16,856","21,213","21,213","21,213","21,213","21,213","21,213","21,213","21,219","21,219","21,218","21,218","21,218","21,218","21,218","21,218","21,218","21,218","21,217","21,217","21,217","21,217",439,"21,217","21,217","21,217","21,216","21,216","21,216","21,216","21,216","21,216","21,216","21,216","21,215","21,215","21,215","21,215","21,215","21,215","21,215","21,214","21,214","21,214","21,214","21,214","21,214","21,214","21,214","21,213","21,213","21,213","21,213","21,213","21,213","21,213","21,213","21,212","21,212","21,212","21,212","21,212","21,212","21,212","21,212","21,211","21,211","21,211","38,133","38,133","38,790","39,868","40,115","40,115","40,114","42,345","44,189","44,423","45,683","45,683","45,682","45,682","45,682","45,681","45,681","45,681","45,681","45,680","45,680","45,680","45,680","45,679","61,147","62,629","64,071","65,548","65,547","84,239","84,239","84,238","91,896","91,895","91,895","91,894","91,893","91,893","91,892","91,892","91,891","91,891","91,890","91,890","91,889","91,888","92,360","94,571","96,841","98,953","114,857","114,856","114,856","130,169","130,168","130,167","130,167","130,166","130,165","153,134","153,134","153,133","153,132","153,131","153,130","153,129","153,128","153,127","153,126","153,125","153,124","153,123","153,122","153,664","156,464","159,104","161,639","164,025","165,469","165,998","168,741","171,096","171,095","175,616","177,854","179,132","179,491","182,201","184,665","187,185","189,768","189,767","194,122","194,595","194,594","201,004","204,183","207,464","210,754","212,716","213,292","217,125","220,556","224,090","227,803","227,802","233,797","234,458","238,711","242,443","245,866","249,592","253,209","255,928","257,477","261,095","265,860","270,212","273,880","277,391","279,353","279,865","283,629","287,084","287,664","290,926","293,773","295,052","296,031","296,029","300,925","302,763","304,584","306,513","307,430","307,641","309,565","311,116","312,529","313,959","315,588","316,367","316,496","318,171","319,569","320,769","322,054","323,640","428,444","428,905","432,871","436,329","439,520","442,953","446,687","448,787","449,469","454,511","459,302","464,434","470,481","478,056","482,930","484,966","495,246","506,352","517,072","524,498","525,182","528,578","529,815","535,998","541,661","547,700","552,820","553,388","557,031","557,890","564,509","569,849","574,722","579,918","585,209","588,233","588,971","595,114","600,343","605,160","610,094","615,381","618,678","619,458","625,597","630,804","635,745","640,941","646,750","649,959","650,720","657,525","663,113","668,453","674,262","680,595","684,074","684,070","691,640","697,630","697,626"
Germany,"20,629","20,629","20,629","20,629","20,629","20,629","24,738","24,738","24,738","24,738","24,738","24,738","24,738","30,400","30,400","30,400","30,400","30,400","30,400","30,400","32,891","32,891","32,891","32,891","32,891","32,891","32,891","37,570","37,585","37,585","37,585","37,584","37,584","37,584","42,924","42,923","42,923","42,923","42,922","42,922","42,922","47,194",102,"47,194","47,193","47,193","47,192","47,192","51,918","51,917","51,917","51,917","51,916","51,916","51,915","56,036","56,036","56,035","56,035","56,034","56,034","56,033","60,038","60,038","60,037","60,037","60,036","60,036","60,035","64,606","64,605","64,605","64,604","64,603","64,603","64,602","70,103","70,102","70,102","70,101","70,100","70,100","70,099","76,096","76,095","76,094","76,094","76,093","76,092","76,092","76,091","82,159","82,159","82,158","82,157","82,156","82,156","88,530","88,529","88,528","88,527","88,527","88,526","88,525","95,532","95,532","95,531","95,530","95,529","95,528","95,527","102,453","102,452","102,451","102,450","102,450","102,449","102,448","102,447","102,446","102,445","102,444","110,541","110,540","110,539","121,657","121,656","121,655","121,654","121,653","121,652","121,650","133,707","133,706","133,705","133,703","133,702","133,701","133,700","147,714","147,713","147,712","147,710","147,709","147,708","147,707","160,269","160,267","160,266","160,265","160,263","160,262","160,260","173,627","173,626","173,624","173,623","173,621","173,620","173,618","173,617","186,562","186,560","186,559","186,557","186,555","186,554","186,552","202,729","202,727","202,725","202,724","202,722","202,720","202,718","216,200","216,198","216,196","216,194","216,192","216,190","229,861","229,859","229,857","229,855","229,853","229,851","229,849","229,847","229,845","243,005","243,003","243,001","242,998","242,996","242,994","260,907","260,905","260,903","260,900","260,898","260,896","260,894","278,898","278,895","278,893","278,891","278,888","278,886","278,883","298,159","298,156","298,154","298,151","298,149","298,146","298,143","315,384","315,381","315,378","315,375","315,373","315,370","332,083","332,081","332,078","332,075","332,072","332,069","332,066","332,063","347,340","347,337","347,334","347,331","347,328","347,325","347,322","363,443","363,440","363,437","363,433","363,430","363,427","381,064","381,060","381,057","381,054","381,051","381,047","381,044","401,708","401,704","401,701","401,697","401,694","401,690","401,687","401,683","414,707","414,703","414,699","414,696","414,692","414,689","414,685","418,459","418,455","418,451","418,448","418,444","418,440","418,437","433,143","433,140","433,136","433,132","433,128","433,124","433,121","446,183","446,180","446,176","446,172","446,168","446,164","459,072","459,068","459,064","459,060","459,056","459,052","459,048","459,044","484,912","484,908","484,904"
UK,"6,152","6,467","6,783","7,101","7,386","7,886","8,248","8,595","9,016","9,439","9,867","10,605","11,245","12,058","13,286","15,082","16,644","17,771","19,026","20,385","21,330","22,605","24,034","25,461","26,829","28,309","29,566","30,849","32,713","34,685","36,696","38,040","39,542","40,866","43,661","45,552","47,635","49,352","50,979","52,065","54,255","55,981",558,"59,593","59,592","63,158","63,158","68,011","70,531","73,762","76,837","80,143","82,239","84,456","86,502","89,037","91,956","94,811","97,609","99,787","101,169","102,862","104,930","106,956","109,511","113,651","116,241","118,296","122,422","125,842","128,317","131,275","133,576","135,453","136,852","138,860","142,325","146,044","149,071","152,313","154,745","156,886","158,741","162,625","166,241","169,945","173,531","176,593","178,630","180,712","183,531","186,588","189,866","193,109","195,768","198,205","199,874","202,677","205,779","210,452","214,529","217,848","220,601","223,772","227,916","231,741","235,878","239,707","242,929","246,141","249,455","253,387","257,873","262,084","266,504","270,146","273,903","277,778","277,774","277,770","208,196","210,812","213,503","216,020","218,228","220,626","223,407","223,403","223,400","223,397","223,394","223,391","223,387","239,515","239,511","239,508","239,504","239,501","239,497","239,494","259,310","259,306","259,302","259,299","259,295","259,291","259,287","259,284","283,905","283,901","283,897","283,893","298,584","301,952","301,948","314,407","314,402","314,398","326,218","329,422","332,753","336,930","341,160","341,155","341,150","353,324","356,738","360,527","364,416","368,482","368,477","368,471","380,490","384,622","388,601","392,435","396,966","396,961","396,955","409,368","412,659","417,289","421,791","426,333","426,327","426,321","440,070","443,973","443,967","453,097","458,220","458,213","458,207","472,807","476,724","481,538","486,589","492,175","492,168","492,161","505,827","509,265","513,471","518,178","523,450","523,442","523,435","537,644","541,193","546,150","551,825","557,475","557,467","557,459","572,361","576,111","580,391","585,940","591,931","591,923","591,914","607,350","610,529","615,299","620,559","626,264","626,255","626,246","639,070","642,744","647,589","652,820","658,627","658,618","658,608","673,511","676,741","681,103","686,771","692,791","692,781","692,772","708,453","712,544","717,266","722,673","728,550","728,540","728,530","747,204","753,601","760,346","767,837","767,826","767,815","767,804","767,793","795,118","800,233","806,479","806,468","806,456","806,445","832,473","839,496","846,948","855,446","864,674","864,661","864,649","864,637","898,410","907,488","907,475","927,432","927,419","927,406","949,980","958,585","967,557","977,391","987,438","987,424","987,410","1,010,355","1,018,646","1,028,577","1,040,830","1,052,637","1,052,622","1,052,607","1,078,606","1,078,590","1,078,575","1,110,302","1,122,352","1,122,336"
Turkey,"6,144","6,621","7,101","7,521","7,991","8,459","8,904","9,390","9,844","10,298","10,656","10,895","11,242","11,757","12,255","12,747","13,177","13,462","13,886","14,281","14,640","15,000","15,400","15,822","16,251","16,639","17,082","17,477","17,915","18,373","18,874","19,293","19,591","19,892","20,138","20,537","20,982","21,458","21,749","22,004","22,239","22,488",53,"23,314","23,779","24,201","24,574","24,957","25,577","26,220","26,905","27,330","27,748","28,214","28,655","29,087","29,670","30,156","30,690","31,225","31,723","32,277","32,903","33,477","33,966","34,452","34,932","35,422","35,931","36,564","37,183","37,789","38,324","38,896","39,500","40,097","40,716","41,304","41,921","42,492","43,041","43,659","44,257","44,840","45,432","46,009","46,587","47,121","47,671","48,182","48,682","49,183","49,670","50,154","50,642","51,155","51,661","52,174","52,686","53,194","53,706","54,178","54,713","55,273","55,813","56,324","56,873","57,402","57,877","58,365","58,911","59,547","60,191","60,861","61,615","62,341","63,076","63,805","64,599","65,390","66,219","67,013","67,792","68,676","69,649","70,679","71,770","72,860","73,959","74,907","76,041","77,202","78,384","79,638","80,912","82,110","83,188","84,489","85,782","87,057","88,358","89,742","90,917","92,060","93,287","94,593","95,905","97,177","98,502","99,662","100,796","102,125","103,428","104,758","106,056","107,367","108,516","109,641","110,973","112,322","113,645","114,982","116,314","117,517","118,709","120,072","121,427","122,749","124,089","125,443","126,660","127,772","129,254","130,579","131,954","133,335","134,800","136,027","137,315","138,678","140,033","141,392","142,760","144,139","145,460","146,654","148,024","149,397","150,787","152,167","153,533","154,869","156,191","157,757","159,260","160,772","162,355","163,964","165,425","166,877","168,516","170,239","171,940","173,660","175,370","177,015","178,686","180,399","182,120","183,839","185,587","187,353","189,120","190,797","192,581","194,426","196,295","198,152","199,996","201,788","203,618","205,514","207,424","209,360","211,341","213,355","215,408","217,388","219,467","221,589","223,750","225,956","228,245","230,349","232,405","234,722","237,090","239,495","241,922","244,379","246,603","248,734","251,137","253,563","255,979","258,403","260,823","262,858","264,725","267,031","269,292","271,669","273,969","276,334","278,435","280,457","282,583","284,734","286,901","288,994","290,850","292,601","294,231","296,361","298,515","300,660","302,809","304,972","306,947","308,857","310,974","313,078","315,115","317,108","319,070","320,909","322,652","324,426","326,481","328,462","330,399","332,314","334,105","335,844","337,615","339,730","341,834","343,866","345,801","347,544","349,141","350,801","352,441","354,177","355,876","357,545","359,156"
Iran,"3,695","3,808","3,931","4,068","4,203","4,354","4,493","4,637","4,761","4,882","5,016","5,147","5,269","5,398","5,516","5,656","5,769","5,909","6,052","6,186","6,325","6,485","6,654","6,825","6,985","7,159","7,328","7,495","7,678","7,854","8,022","8,191","8,367","8,540","8,719","8,895","9,108","9,315","9,544","9,763","9,979","10,210",91,"10,687","10,686","11,155","11,392","11,631","11,882","12,148","12,397","12,396","12,927","13,193","13,447","13,447","13,978","14,260","14,527","14,821","15,119","15,410","15,723","16,016","16,327","16,623","16,941","17,262","17,570","17,893","18,225","18,551","18,856","19,181","19,516","19,843","20,160","20,471","20,774","20,773","21,365","21,665","21,983","22,287","22,589","22,882","23,174","23,472","23,778","24,076","24,372","24,677","24,677","25,267","25,570","25,881","26,198","26,510","26,817","27,104","27,392","27,691","27,995","28,311","28,616","28,924","29,221","29,525","29,832","30,143","30,447","30,764","31,068","31,362","31,361","31,942","32,242","32,534","32,850","33,144","33,434","33,715","34,018","34,327","34,636","34,942","34,940","35,501","35,787","36,088","36,392","36,699","37,000","37,296","37,569","37,841","37,839","38,387","38,683","38,989","39,289","39,570","39,854","40,151","40,456","40,759","40,757","41,374","41,660","41,955","41,954","42,593","42,913","43,240","43,547","43,828","44,157","44,481","44,796","45,119","45,446","45,759","46,052","46,356","46,677","46,999","47,317","47,648","47,983","48,275","48,597","48,928","49,261","49,591","49,925","50,213","50,516","50,830","51,162","51,496","51,836","52,179","52,510","52,838","53,165","53,505","53,851","54,203","54,548","54,894","55,246","55,605","55,964","56,362","56,757","57,169","57,590","58,007","58,435","58,864","58,861","59,705","60,134","60,579","61,010","61,459","61,918","62,377","62,837","63,340","63,814","64,280","64,748","65,230","65,706","66,186","66,664","66,661","66,659","68,087","68,566","69,041","69,546","70,042","70,543","70,541","71,519","72,031","72,542","73,052","73,572","74,090","74,088","75,102","75,625","76,158","76,694","77,232","77,763","78,273","78,817","79,362","79,905","80,460","81,041","81,628","82,192","82,795","82,793","83,995","84,605","85,220","85,834","86,417","87,025","87,643","88,268","88,893","89,522","89,519","90,738","91,363","92,000","92,634","93,270","93,908","94,542","94,538","94,535","96,421","97,065","97,702","98,340","98,978","99,589","100,211","100,820","101,441","102,081","102,078","102,074","102,070","102,067","102,063","102,060","106,557","107,201","107,847","107,843","109,084","109,729","110,374","111,017","111,659","112,309","112,305","113,566"
