Country_Other,April16,April17,April18,April19,April20,April21,April22,April23,April24,April25,April26,April27,April28,April29,April30,May01,May02,May03,May04,May05,May06,May07,May08,May09,May10,May11,May12,May13,May14,May15,May16,May17,May18,May19,May20,May21,May22,May23,May24,May25,May26,May27,May28,May29,May30,May31,June01,June02,June03,June04,June05,June06,June07,June08,June09,June10,June11,June12,June13,June14,June15,June16,June17,June18,June19,June20,June21,June22,June23,June24,June25,June26,June27,June28,June29,June30,July01,July02,July03,July04,July05,July06,July07,July08,July09,July10,July11,July12,July13,July14,July15,July16,July17,July18,July19,July20,July21,July22,July23,July24,July25,July26,July27,July28,July29,July30,July31,August01,August02,August03,August04,August05,August06,August07,August08,August09,August10,August11,August12,August13,August14,August15,August16,August17,August18,August19,August20,August21,August22,August23
World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,"62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814","62,814"
USA,"10,266","10,792","11,245","11,666","12,164","12,651","13,067","14,189","15,153","15,949","16,527","17,211","17,885","18,549","19,311","20,241","20,940","21,742","22,545","23,347","24,185","25,068","26,092","26,943","28,533","29,063","30,017","31,027","32,166","33,532","36,127","35,903","37,188","38,229","39,354","40,627","42,050","43,404","44,587","45,910","46,951","47,988",312,"50,814","52,203","53,417","54,859","56,228","57,718","59,142","61,255","62,919","64,349","65,657","66,912","68,377","69,729","71,900","73,410","74,927","76,329","77,749","79,302","80,750","82,604","84,532","86,090","87,664","89,292","90,823","92,854","94,726","96,675","98,469","100,271","103,317","105,302","107,362","109,653","111,634","113,588","115,449","117,211","119,257","121,314","123,877","126,171","128,281","130,645","132,993","135,430","138,021","140,773","143,759","146,002","148,477","150,745","153,217","155,688","158,610","161,120","163,736","166,145","168,520","171,171","173,695","176,923","178,841","180,977","184,000","186,055","188,353","190,640","192,922","195,075","197,556","199,803","202,106","203,940","206,876","209,401","212,002","214,220","216,412","218,461","220,715","222,984","225,547","227,827","229,889"
Spain,"19,896","19,896","19,896","19,896","19,896","19,896","19,896","19,896","19,896","19,896","25,656","28,779","28,779","30,253","31,126","32,699","32,699","41,332","41,332","41,332","41,332","41,332","41,332","52,781","52,781","52,781","52,781","52,781","52,784","52,783","64,977","64,977","64,977","64,977","64,977","64,977","64,977","64,976","76,071","76,071","76,071","76,071",580,"76,071","76,071","86,921","86,921","86,921","86,921","86,921","86,920","86,920","86,920","95,508","95,508","95,507","95,507","95,507","95,507","95,507","103,232","103,232","103,232","103,232","103,232","103,231","110,426","110,426","110,426","110,426","110,426","110,426","110,426","110,425","110,425","116,544","116,544","116,544","116,543","116,543","116,543","122,652","122,652","122,652","122,651","122,651","122,651","122,651","128,893","128,893","128,893","128,892","128,892","128,892","128,892","128,892","135,188","135,188","135,188","135,188","135,188","135,187","135,187","142,835","142,835","142,835","142,834","142,834","142,834","142,834","151,087","151,087","151,087","151,087","151,087","151,087","159,806","159,806","159,806","159,806","159,805","159,805","159,805","170,147","170,147","170,147","170,147","170,147","170,147","170,146"
Italy,"19,490","20,577","21,598","22,436","23,122","23,985","25,028","26,131","27,164","28,245","29,071","29,600","30,547","31,603","32,735","33,962","34,879","35,622","36,244","37,158","38,221","39,385","40,440","41,584","42,439","43,112","44,221","45,246","46,426","47,553","48,698","49,692","50,294","51,338","52,450","53,635","54,882","56,080","57,003","57,586","58,540","59,654",548,"62,102","63,249","64,144","64,664","65,527","66,144","66,970","68,046","69,245","70,063","70,064","71,422","72,459","73,493","74,661","75,484","76,419","76,884","77,660","78,945","79,908","80,859","81,765","82,436","82,915","83,585","84,466","85,394","86,267","87,282","87,900","88,351","89,149","90,066","90,946","92,222","92,636","93,256","93,623","94,338","95,173","96,043","96,836","97,596","98,229","98,626","99,319","100,120","100,955","101,795","102,594","103,182","103,583","104,297","105,113","106,111","106,994","107,849","108,520","108,943","109,740","110,667","111,691","112,823","113,698","114,415","114,813","115,537","116,472","117,443","118,422","119,305","119,928","120,365","121,038","121,910","122,757","123,530","124,410","125,019","125,527","126,420","127,597","128,878","130,070","131,355","132,471"
France,"5,114","7,103","7,103","7,103","7,103","7,103","7,103","7,103","7,103","7,103","7,103","7,103","7,103","7,103","11,101","16,856","16,856","16,856","16,856","16,856","16,856","21,213","21,213","21,213","21,213","21,213","21,213","21,213","21,219","21,219","21,218","21,218","21,218","21,218","21,218","21,218","21,218","21,218","21,217","21,217","21,217","21,217",439,"21,217","21,217","21,217","21,216","21,216","21,216","21,216","21,216","21,216","21,216","21,216","21,215","21,215","21,215","21,215","21,215","21,215","21,215","21,214","21,214","21,214","21,214","21,214","21,214","21,214","21,214","21,213","21,213","21,213","21,213","21,213","21,213","21,213","21,213","21,212","21,212","21,212","21,212","21,212","21,212","21,212","21,212","21,211","21,211","21,211","38,133","38,133","38,790","39,868","40,115","40,115","40,114","42,345","44,189","44,423","45,683","45,683","45,682","45,682","45,682","45,681","45,681","45,681","45,681","45,680","45,680","45,680","45,680","45,679","61,147","62,629","64,071","65,548","65,547","84,239","84,239","84,238","91,896","91,895","91,895","91,894","91,893","91,893","91,892","91,892","91,891","91,891"
Germany,"20,629","20,629","20,629","20,629","20,629","20,629","24,738","24,738","24,738","24,738","24,738","24,738","24,738","30,400","30,400","30,400","30,400","30,400","30,400","30,400","32,891","32,891","32,891","32,891","32,891","32,891","32,891","37,570","37,585","37,585","37,585","37,584","37,584","37,584","42,924","42,923","42,923","42,923","42,922","42,922","42,922","47,194",102,"47,194","47,193","47,193","47,192","47,192","51,918","51,917","51,917","51,917","51,916","51,916","51,915","56,036","56,036","56,035","56,035","56,034","56,034","56,033","60,038","60,038","60,037","60,037","60,036","60,036","60,035","64,606","64,605","64,605","64,604","64,603","64,603","64,602","70,103","70,102","70,102","70,101","70,100","70,100","70,099","76,096","76,095","76,094","76,094","76,093","76,092","76,092","76,091","82,159","82,159","82,158","82,157","82,156","82,156","88,530","88,529","88,528","88,527","88,527","88,526","88,525","95,532","95,532","95,531","95,530","95,529","95,528","95,527","102,453","102,452","102,451","102,450","102,450","102,449","102,448","102,447","102,446","102,445","102,444","110,541","110,540","110,539","121,657","121,656","121,655","121,654","121,653"
UK,"6,152","6,467","6,783","7,101","7,386","7,886","8,248","8,595","9,016","9,439","9,867","10,605","11,245","12,058","13,286","15,082","16,644","17,771","19,026","20,385","21,330","22,605","24,034","25,461","26,829","28,309","29,566","30,849","32,713","34,685","36,696","38,040","39,542","40,866","43,661","45,552","47,635","49,352","50,979","52,065","54,255","55,981",558,"59,593","59,592","63,158","63,158","68,011","70,531","73,762","76,837","80,143","82,239","84,456","86,502","89,037","91,956","94,811","97,609","99,787","101,169","102,862","104,930","106,956","109,511","113,651","116,241","118,296","122,422","125,842","128,317","131,275","133,576","135,453","136,852","138,860","142,325","146,044","149,071","152,313","154,745","156,886","158,741","162,625","166,241","169,945","173,531","176,593","178,630","180,712","183,531","186,588","189,866","193,109","195,768","198,205","199,874","202,677","205,779","210,452","214,529","217,848","220,601","223,772","227,916","231,741","235,878","239,707","242,929","246,141","249,455","253,387","257,873","262,084","266,504","270,146","273,903","277,778","277,774","277,770","208,196","210,812","213,503","216,020","218,228","220,626","223,407","223,403","223,400","223,397"
Turkey,"6,144","6,621","7,101","7,521","7,991","8,459","8,904","9,390","9,844","10,298","10,656","10,895","11,242","11,757","12,255","12,747","13,177","13,462","13,886","14,281","14,640","15,000","15,400","15,822","16,251","16,639","17,082","17,477","17,915","18,373","18,874","19,293","19,591","19,892","20,138","20,537","20,982","21,458","21,749","22,004","22,239","22,488",53,"23,314","23,779","24,201","24,574","24,957","25,577","26,220","26,905","27,330","27,748","28,214","28,655","29,087","29,670","30,156","30,690","31,225","31,723","32,277","32,903","33,477","33,966","34,452","34,932","35,422","35,931","36,564","37,183","37,789","38,324","38,896","39,500","40,097","40,716","41,304","41,921","42,492","43,041","43,659","44,257","44,840","45,432","46,009","46,587","47,121","47,671","48,182","48,682","49,183","49,670","50,154","50,642","51,155","51,661","52,174","52,686","53,194","53,706","54,178","54,713","55,273","55,813","56,324","56,873","57,402","57,877","58,365","58,911","59,547","60,191","60,861","61,615","62,341","63,076","63,805","64,599","65,390","66,219","67,013","67,792","68,676","69,649","70,679","71,770","72,860","73,959","74,907"
Iran,"3,695","3,808","3,931","4,068","4,203","4,354","4,493","4,637","4,761","4,882","5,016","5,147","5,269","5,398","5,516","5,656","5,769","5,909","6,052","6,186","6,325","6,485","6,654","6,825","6,985","7,159","7,328","7,495","7,678","7,854","8,022","8,191","8,367","8,540","8,719","8,895","9,108","9,315","9,544","9,763","9,979","10,210",91,"10,687","10,686","11,155","11,392","11,631","11,882","12,148","12,397","12,396","12,927","13,193","13,447","13,447","13,978","14,260","14,527","14,821","15,119","15,410","15,723","16,016","16,327","16,623","16,941","17,262","17,570","17,893","18,225","18,551","18,856","19,181","19,516","19,843","20,160","20,471","20,774","20,773","21,365","21,665","21,983","22,287","22,589","22,882","23,174","23,472","23,778","24,076","24,372","24,677","24,677","25,267","25,570","25,881","26,198","26,510","26,817","27,104","27,392","27,691","27,995","28,311","28,616","28,924","29,221","29,525","29,832","30,143","30,447","30,764","31,068","31,362","31,361","31,942","32,242","32,534","32,850","33,144","33,434","33,715","34,018","34,327","34,636","34,942","34,940","35,501","35,787","36,088"
