Country_Other,April16,April17,April18,April19,April20,April21,April22,April23,April24,April25,April26,April27,April28,April29,April30,May01,May02,May03,May04,May05,May06,May07,May08,May09,May10,May11,May12,May13,May14,May15,May16,May17,May18,May19,May20,May21,May22,May23,May24,May25,May26,May27,May28,May29,May30,May31,June01,June02,June03,June04,June05,June06,June07,June08,June09,June10,June11,June12,June13,June14,June15,June16,June17,June18,June19,June20,June21,June22,June23,June24,June25,June26,June27,June28,June29,June30,July01,July02,July03,July04,July05,July06,July07,July08,July09,July10,July11,July12,July13,July14,July15,July16,July17,July18,July19,July20,July21,July22,July23,July24,July25,July26,July27,July28,July29,July30,July31,August01,August02,August03,August04,August05,August06,August07,August08,August09,August10,August11,August12,August13,August14,August15,August16,August17,August18,August19,August20,August21,August22,August23,August24,August25,August26,August27,August28,August29,August30,August31,September01,September02,September03,September04,September05,September06,September07,September08,September09,September10,September11,September12,September13,September14,September15,September16,September17,September18,September19,September20,September21,September22,September23,September24,September25,September26,September27,September28,September29,September30,October01,October02,October03,October04,October05,October06,October07,October08,October09,October10,October11,October12,October13,October14,October15,October16,October17,October18,October19,October20,October21,October22,October23,October24,October25,October26,October27,October28,October29,October30,October31,November01
World,"2,181,308","2,248,863","2,330,766","2,406,575","2,480,503","2,555,760","2,635,716","2,723,169","2,828,826","2,919,404","2,993,262","3,062,515","3,136,508","3,218,184","3,304,220","3,398,473","3,481,371","3,563,689","3,643,271","3,724,518","3,817,382","3,913,644","4,009,291","4,098,288","4,178,154","4,252,290","4,337,602","4,425,656","4,521,989","4,621,414","4,717,009","4,799,266","4,888,124","4,982,937","5,083,411","5,190,496","5,298,207","5,397,950","5,494,455","5,584,267","5,678,146","5,784,603","5,900,907","6,026,380","6,150,482","6,259,250","6,363,196","6,441,282","6,562,696","6,692,694","6,839,487","6,969,122","7,082,263","7,189,858","7,310,832","7,445,873","7,585,099","7,727,093","7,859,879","7,983,437","8,108,667","8,251,224","8,428,600","8,570,384","8,750,990","8,908,555","9,038,937","9,182,575","9,345,569","9,520,818","9,702,386","9,898,547","10,075,115","10,238,287","10,402,906","10,577,756","10,795,162","10,974,421","11,182,576","11,372,202","11,550,542","11,732,581","11,942,118","12,155,602","12,379,259","12,616,578","12,833,505","13,028,182","13,229,741","13,448,407","13,683,805","13,939,096","14,179,830","14,414,659","14,635,552","14,845,960","15,084,877","15,365,917","15,642,265","15,931,445","16,189,203","16,410,414","16,635,972","16,884,064","17,177,778","17,463,220","17,752,916","18,008,407","18,226,892","18,435,341","18,693,531","18,965,479","19,246,679","19,532,532","19,795,077","20,016,368","20,245,425","20,511,458","20,797,157","21,057,706","21,345,178","21,605,487","21,818,775","22,043,560","22,297,453","22,569,598","22,850,287","23,108,416","23,371,186","23,577,870","23,802,822","24,051,271","24,342,560","24,615,960","24,899,595","25,157,524","25,378,403","25,628,294","25,892,040","26,170,556","26,459,256","26,783,513","27,054,143","27,275,457","27,480,958","27,728,300","28,014,831","28,317,965","28,649,043","28,931,415","29,175,427","29,436,533","29,718,139","30,027,117","30,342,019","30,686,471","30,976,595","31,229,767","31,476,206","31,769,751","32,086,305","32,401,698","32,752,247","33,047,041","33,298,956","33,545,333","33,833,509","34,149,803","34,499,937","34,819,505","35,123,169","35,390,111","35,695,385","36,032,980","36,381,660","36,738,738","37,098,171","37,457,017","37,755,384","38,031,951","38,348,041","38,730,181","39,153,524","39,566,290","39,938,997","40,264,222","40,635,791","41,023,149","41,462,439","41,967,574","42,463,834","42,918,256","43,323,453","43,770,538","44,237,040","44,742,592","45,316,584","45,892,274","46,367,473","46,804,614"
China,"82,341","82,692","82,719","82,735","82,747","82,758","82,788","82,798","82,804","82,816","82,827","82,830","82,836","82,858","82,862","82,874","82,875","82,877","82,880","82,881","82,883","82,885","82,886","82,887","82,901","82,918","82,919","82,926","82,929","82,933","82,941","82,947","82,954","82,960","82,965","82,967","82,971","82,971","82,974","82,985","82,992","82,993","82,995","82,995","82,999","83,001","83,017","83,021","83,021","83,022","83,027","83,030","83,036","83,040","83,043","83,046","83,057","83,064","83,075","83,132","83,181","83,221","83,265","83,293","83,325","83,352","83,378","83,396","83,418","83,430","83,449","83,462","83,483","83,500","83,512","83,531","83,534","83,537","83,542","83,545","83,553","83,557","83,565","83,572","83,581","83,585","83,587","83,594","83,602","83,605","83,611","83,612","83,622","83,644","83,660","83,682","83,693","83,707","83,729","83,750","83,784","83,830","83,891","83,959","84,060","84,165","84,292","84,336","84,385","84,428","84,464","84,491","84,528","84,565","84,596","84,619","84,668","84,712","84,737","84,756","84,786","84,808","84,827","84,849","84,871","84,888","84,895","84,917","84,939","84,951","84,967","84,981","84,996","85,004","85,013","85,022","85,031","85,048","85,058","85,066","85,077","85,102","85,112","85,122","85,134","85,144","85,146","85,153","85,168","85,174","85,184","85,194","85,202","85,214","85,223","85,255","85,269","85,279","85,291","85,297","85,307","85,314","85,322","85,337","85,351","85,372","85,384","85,403","85,414","85,424","85,434","85,450","85,470","85,482","85,489","85,500","85,521","85,536","85,557","85,578","85,591","85,611","85,622","85,646","85,659","85,672","85,685","85,704","85,715","85,729","85,747","85,775","85,790","85,810","85,826","85,868","85,915","85,940","85,973","85,997"
USA,"677,570","709,735","738,792","764,636","792,759","818,744","848,717","886,442","925,232","960,651","987,160","1,010,356","1,035,765","1,064,194","1,095,023","1,131,030","1,160,774","1,188,122","1,212,835","1,237,633","1,263,092","1,292,623","1,321,785","1,347,309","1,367,638","1,385,834","1,408,636","1,430,348","1,457,593","1,484,285","1,507,773","1,527,664","1,550,294","1,570,583","1,592,723","1,620,902","1,645,094","1,666,828","1,686,436","1,706,226","1,725,275","1,745,803","1,768,461","1,793,530","1,816,820","1,837,170","1,859,323","1,881,205","1,901,783","1,924,051","1,965,708","1,988,544","2,007,449","2,026,493","2,045,549","2,066,401","2,089,701","2,116,922","2,142,224","2,162,228","2,182,950","2,208,400","2,234,471","2,263,651","2,297,190","2,330,578","2,356,657","2,388,153","2,424,168","2,462,554","2,504,588","2,552,956","2,596,537","2,637,077","2,681,811","2,727,853","2,779,953","2,837,189","2,890,588","2,935,770","2,982,928","3,040,192","3,097,084","3,158,932","3,219,999","3,291,786","3,355,646","3,413,995","3,479,483","3,545,077","3,616,827","3,695,025","3,770,012","3,833,271","3,898,550","3,961,429","4,028,569","4,100,875","4,170,318","4,248,327","4,315,709","4,371,839","4,433,410","4,498,343","4,568,037","4,634,985","4,705,889","4,764,318","4,813,647","4,862,174","4,918,420","4,973,568","5,032,179","5,095,524","5,149,723","5,199,444","5,251,446","5,305,957","5,360,302","5,415,666","5,476,266","5,529,789","5,566,632","5,612,027","5,655,974","5,700,931","5,746,272","5,796,727","5,841,428","5,874,146","5,915,630","5,955,728","6,000,365","6,046,634","6,096,235","6,139,078","6,173,236","6,211,796","6,257,571","6,290,737","6,335,244","6,389,057","6,431,152","6,460,250","6,485,575","6,514,231","6,549,475","6,588,163","6,637,319","6,676,601","6,708,458","6,749,289","6,788,147","6,828,301","6,874,596","6,925,941","6,967,403","7,004,768","7,046,216","7,097,937","7,139,553","7,185,471","7,244,184","7,287,561","7,321,343","7,361,611","7,406,146","7,447,282","7,494,671","7,549,323","7,600,846","7,636,912","7,679,644","7,722,746","7,776,224","7,833,763","7,894,478","7,948,290","7,991,998","8,037,789","8,090,253","8,150,043","8,216,315","8,288,278","8,342,665","8,387,799","8,456,653","8,520,307","8,584,819","8,661,651","8,746,953","8,827,932","8,889,179","8,962,783","9,038,030","9,120,751","9,212,767","9,316,297","9,402,590","9,473,911"
Spain,"184,948","190,839","194,416","198,674","200,210","204,178","208,389","213,024","219,764","223,759","226,629","229,422","232,128","236,899","239,639","242,988","245,589","247,122","248,301","250,561","253,682","256,855","260,117","262,783","264,663","268,143","269,520","271,095","272,646","274,367","276,505","277,719","278,188","278,803","279,524","280,117","281,904","282,370","282,852","282,480","283,339","283,849","284,986","285,644","286,308","286,509","286,718","287,012","287,406","287,740","288,058","288,390","288,630","288,797","289,046","289,360","289,787","290,289","290,685","291,008","291,189","291,408","291,763","292,348","292,655","293,018","293,352","293,584","293,832","294,166","294,566","294,985","295,549","295,850","296,050","296,351","296,739","297,183","297,625","297,625","297,625","298,869","299,210","299,593","300,136","300,988","300,988","300,988","303,033","303,699","304,574","305,935","307,335","307,335","307,335","311,916","313,274","314,631","317,246","319,501","319,501","319,501","325,862","327,690","329,721","332,510","335,602","335,602","335,602","344,134","349,894","352,847","354,530","361,442","361,442","361,442","370,060","373,692","376,864","355,856","358,843","358,843","358,843","382,142","384,270","387,985","404,229","407,879","407,879","407,879","420,809","423,224","448,011","451,792","455,621","455,621","455,621","462,858","470,973","479,554","488,513","517,133","517,133","517,133","525,549","534,513","543,379","554,143","576,697","576,697","576,697","593,730","603,167","614,360","625,651","659,334","659,334","659,334","671,468","682,267","693,556","704,209","735,198","735,198","735,198","748,266","758,172","769,188","807,085","810,807","810,807","810,807","852,838","865,631","872,276","884,381","890,367","890,367","908,937","918,223","925,341","937,311","972,958","982,723","982,723","982,723","1,015,795","1,029,668","1,046,641","1,090,521","1,110,372","1,110,372","1,110,372","1,156,498","1,174,916","1,194,681","1,238,922","1,264,517","1,264,517","1,264,517"
Italy,"168,941","172,434","175,925","178,972","181,228","183,957","187,327","189,973","192,994","195,351","197,675","199,414","201,505","203,591","205,463","207,428","209,328","210,717","211,938","213,013","214,457","215,858","217,185","218,268","219,070","219,814","221,216","222,104","223,096","223,885","224,760","225,435","225,886","226,699","227,364","228,006","228,658","229,327","229,858","230,158","230,555","231,139","231,732","232,248","232,664","232,997","233,197","233,515","233,836","234,013","234,531","234,801","234,998","235,278","235,561","235,763","236,142","236,305","236,651","236,989","237,290","237,500","237,828","238,159","238,011","238,275","238,499","238,720","238,833","239,410","239,706","239,961","240,136","240,310","240,436","240,578","240,760","240,961","241,184","241,419","241,611","241,819","241,956","242,149","242,363","242,639","242,827","243,061","243,230","243,344","243,506","243,736","243,967","244,216","244,434","244,624","244,752","245,032","245,338","245,590","245,864","246,118","246,286","246,487","246,776","247,158","247,537","247,832","248,070","248,229","248,419","248,803","249,204","249,756","250,103","250,566","250,825","251,237","251,713","252,235","252,809","253,436","253,915","254,235","254,636","255,278","256,118","257,065","258,136","259,345","260,298","261,174","262,538","263,947","265,409","266,853","268,218","269,214","270,189","271,515","272,911","274,644","276,337","277,634","278,783","280,149","281,583","283,180","284,796","286,297","287,753","288,761","289,990","291,440","293,025","294,932","296,569","298,156","299,506","300,897","302,537","304,323","306,235","308,104","309,870","311,363","313,011","314,861","317,409","319,908","322,751","325,329","327,586","330,263","333,940","338,398","343,770","349,494","354,950","359,569","365,467","372,799","381,602","391,611","402,536","414,241","423,578","434,449","449,648","465,726","484,865","504,509","525,782","542,789","564,775","589,766","616,590","647,674","679,430","709,335"
France,"165,027","147,969","151,793","152,894","155,383","158,050","159,877","158,183","159,828","161,488","162,100","165,842","165,911","166,420","167,178","167,346","168,396","168,693","169,462","170,551","174,191","174,791","176,079","176,658","176,970","177,423","178,225","178,060","178,870","179,506","179,365","179,569","179,927","180,809","181,575","181,826","182,219","182,469","182,584","182,942","182,722","182,913","186,238","186,797","188,625","188,882","189,220","151,325","151,677","152,444","153,055","153,634","153,977","154,188","154,591","155,136","155,561","156,287","156,813","157,220","157,372","157,716","158,174","158,641","159,452","160,093","160,377","160,750","161,267","161,348","161,348","162,936","162,936","162,936","164,260","164,801","165,719","166,378","166,960","166,960","166,960","168,335","168,810","169,473","170,094","170,752","170,752","170,752","172,377","172,377","173,304","173,838","174,674","174,674","174,674","176,754","177,338","178,336","179,398","180,528","180,528","180,528","183,079","183,804","185,196","186,573","187,919","187,919","187,919","191,295","192,334","194,029","195,633","197,921","197,921","197,921","202,775","204,172","206,696","209,365","212,211","215,521","218,536","219,029","221,267","225,043","229,814","234,400","238,002","242,899","244,854","248,158","253,587","259,698","267,077","272,530","277,943","281,025","286,007","293,024","300,181","309,156","317,706","324,777","328,980","335,524","344,101","353,944","363,350","373,911","381,094","387,252","395,104","404,888","415,481","428,696","442,194","452,763","458,061","468,069","481,141","497,237","513,034","527,446","538,569","542,639","550,690","563,535","577,505","589,653","606,625","619,190","624,274","634,763","653,509","671,638","691,977","718,873","734,974","743,479","756,472","779,063","809,684","834,770","867,197","897,034","910,277","930,745","957,421","999,043","1,041,075","1,086,497","1,138,507","1,165,278","1,198,695","1,235,132","1,282,769","1,331,984","1,367,625","1,413,915"
Germany,"137,698","141,397","143,724","145,742","147,065","148,453","150,648","153,129","154,999","156,513","157,770","158,758","159,912","161,539","163,009","164,077","164,967","165,664","166,152","167,007","168,162","169,430","170,588","171,324","171,879","172,576","173,171","174,098","174,975","175,699","176,244","176,651","177,289","177,827","178,531","179,021","179,713","179,986","180,328","180,789","181,288","181,895","182,452","183,019","183,294","183,494","183,765","184,091","184,425","184,923","185,414","185,696","185,869","186,205","186,516","186,510","186,795","187,251","187,423","187,671","188,044","188,382","189,504","190,126","190,660","191,216","191,575","192,119","192,778","193,254","193,785","194,399","194,689","194,864","195,392","195,832","196,324","196,717","197,000","197,418","197,558","198,057","198,355","198,765","199,198","199,588","199,812","199,950","200,436","200,766","201,252","201,836","202,345","202,572","202,845","203,487","203,890","204,470","205,142","205,960","206,332","206,741","207,379","207,951","208,811","209,653","210,665","211,077","211,462","212,320","213,080","214,104","215,210","216,315","216,896","217,281","218,500","219,530","220,850","222,269","223,774","224,478","224,997","226,686","228,105","229,700","231,284","233,021","233,857","234,489","236,117","237,572","239,000","240,565","242,114","242,825","243,295","244,792","246,001","247,391","248,814","250,281","251,056","251,724","253,625","254,956","256,349","258,107","259,725","260,546","261,298","263,221","264,844","266,865","269,042","271,244","272,308","273,477","275,551","277,176","279,205","281,345","283,706","285,025","286,338","288,618","290,466","292,911","295,530","298,363","300,028","301,571","304,657","307,119","311,113","315,514","320,478","323,453","326,291","331,094","335,679","341,742","348,816","356,792","361,733","366,981","373,731","380,898","391,355","403,874","417,350","427,808","437,637","450,258","463,419","479,621","498,353","517,720","531,790","544,346"
UK,"103,093","108,692","114,217","120,067","124,743","129,044","133,495","138,078","143,464","148,377","152,840","157,149","161,145","165,221","171,253","177,454","182,260","186,599","190,584","194,990","201,101","206,715","211,364","215,260","219,183","223,060","226,463","229,705","233,151","236,711","240,161","243,695","246,406","248,818","248,293","250,908","254,195","257,154","259,559","261,184","265,227","267,240","269,127","271,222","272,826","274,762","276,332","277,985","279,856","281,661","283,311","284,868","286,194","287,399","289,140","290,143","291,409","292,950","294,375","295,889","296,857","298,136","299,251","300,469","301,815","303,110","304,331","305,289","306,210","306,862","307,980","309,360","310,250","311,151","311,965","312,654","313,483","283,757","284,276","284,900","285,416","285,768","286,349","286,979","287,621","288,133","288,953","289,603","290,133","291,373","291,911","292,552","293,239","294,066","294,792","295,372","295,817","296,377","297,146","297,914","298,681","299,426","300,111","300,692","301,455","302,301","303,181","303,952","304,695","305,623","306,293","307,184","308,134","309,005","309,763","310,825","311,641","312,789","313,798","313,798","316,367","317,444","318,484","319,197","320,286","321,098","322,280","323,313","324,601","325,642","326,614","327,798","328,846","330,368","331,644","332,752","334,467","335,873","337,168","338,676","340,411","342,351","344,164","347,152","350,100","352,560","355,219","358,138","361,677","365,174","368,504","371,123","374,228","378,219","381,614","385,936","390,358","394,257","398,625","403,551","409,729","416,363","423,236","429,276","434,969","439,013","446,156","453,264","460,178","467,146","480,017","502,978","515,571","530,113","544,275","561,815","575,679","590,844","603,716","617,688","634,920","654,644","673,622","689,257","705,428","722,409","741,212","762,542","789,229","810,467","830,998","854,010","873,800","894,690","917,574","942,275","965,340","989,745","1,011,660","1,034,914"
Turkey,"74,193","78,546","82,329","86,306","90,980","95,591","98,674","101,790","104,912","107,773","110,130","112,261","114,653","117,589","120,204","122,392","124,375","126,045","127,659","129,491","131,744","133,721","135,569","137,115","138,657","139,771","141,475","143,114","144,749","146,457","148,067","149,435","150,593","151,615","152,587","153,548","154,500","155,686","156,827","157,814","158,762","159,797","160,979","162,120","163,103","163,942","164,769","165,555","166,422","167,410","168,340","169,218","170,132","171,121","172,114","173,036","174,023","175,218","176,677","178,239","179,831","181,298","182,727","184,031","185,245","186,493","187,685","188,897","190,165","191,657","193,115","194,511","195,883","197,239","198,613","199,906","201,098","202,284","203,456","204,610","205,758","206,844","207,897","208,938","209,962","210,965","211,981","212,993","214,001","214,993","215,940","216,873","217,799","218,717","219,641","220,572","221,500","222,402","223,315","224,252","225,173","226,100","227,019","227,982","228,924","229,891","230,873","231,869","232,856","233,851","234,934","236,112","237,265","238,450","239,622","240,804","241,997","243,180","244,392","245,635","246,861","248,117","249,309","250,542","251,805","253,108","254,520","255,723","257,032","258,249","259,692","261,194","262,507","263,998","265,515","267,064","268,546","270,133","271,705","273,301","274,943","276,555","278,228","279,806","281,509","283,270","284,943","286,455","288,126","289,635","291,162","292,878","294,620","296,391","298,039","299,810","301,348","302,867","304,610","306,302","308,069","309,790","311,455","312,966","314,433","315,845","317,272","318,663","320,070","321,512","323,014","324,443","326,046","327,557","329,138","330,753","332,382","334,031","335,533","337,147","338,779","340,450","342,143","343,955","345,678","347,493","349,519","351,413","353,426","355,528","357,693","359,784","361,801","363,999","366,208","368,513","370,832","373,154","375,367","377,473"
Iran,"77,995","79,494","80,868","82,211","83,505","84,802","85,996","87,026","88,194","89,328","90,481","91,472","92,584","93,657","94,640","95,646","96,448","97,424","98,647","99,970","101,650","103,135","104,691","106,220","107,603","109,286","110,767","112,725","114,533","116,635","118,392","120,198","122,492","124,603","126,949","129,341","131,652","133,521","135,701","137,724","139,511","141,591","143,849","146,668","148,950","151,466","154,445","157,562","160,696","164,270","167,156","169,425","171,789","173,832","175,927","177,938","180,156","182,545","184,955","187,427","189,876","192,439","195,051","197,647","200,262","202,584","204,952","207,525","209,970","212,501","215,096","217,724","220,180","222,669","225,205","227,662","230,211","232,863","235,429","237,878","240,438","243,051","245,688","248,379","250,458","252,720","255,117","257,303","259,652","262,173","264,561","267,061","269,440","271,606","273,788","276,202","278,827","281,413","284,034","286,523","288,839","291,172","293,606","296,273","298,909","301,530","304,204","306,752","309,437","312,035","314,786","317,483","320,117","322,567","324,692","326,712","328,844","331,189","333,699","336,324","338,825","341,070","343,203","345,450","347,835","350,279","352,558","354,764","356,792","358,905","361,150","363,363","365,606","367,796","369,911","371,816","373,570","375,212","376,894","378,752","380,746","382,772","384,666","386,658","388,810","391,112","393,425","395,488","397,801","399,940","402,029","404,648","407,353","410,334","413,149","416,198","419,043","422,140","425,481","429,193","432,798","436,319","439,882","443,086","446,448","449,960","453,637","457,219","461,044","464,596","468,119","471,772","475,674","479,825","483,844","488,236","492,378","496,253","500,075","504,281","508,389","513,219","517,835","522,387","526,490","530,380","534,631","539,670","545,286","550,757","556,891","562,705","568,896","574,856","581,824","588,648","596,941","604,952","612,772","620,491"
