Country_Other,April16,April17,April18,April19,April20,April21,April22,April23,April24,April25,April26,April27,April28,April29,April30,May01,May02,May03,May04,May05,May06,May07,May08,May09,May10,May11,May12,May13,May14,May15,May16,May17,May18,May19,May20,May21,May22,May23,May24,May25,May26,May27,May28,May29,May30,May31,June01,June02,June03,June04,June05,June06,June07,June08,June09,June10,June11,June12,June13,June14,June15,June16,June17,June18,June19,June20,June21,June22,June23,June24,June25,June26,June27,June28,June29,June30,July01,July02,July03,July04,July05,July06,July07,July08,July09,July10,July11,July12,July13,July14,July15,July16,July17,July18,July19,July20,July21,July22,July23,July24,July25,July26,July27,July28,July29,July30,July31,August01,August02,August03,August04,August05,August06,August07,August08,August09,August10,August11,August12,August13
World,"2,181,308","2,248,863","2,330,766","2,406,575","2,480,503","2,555,760","2,635,716","2,723,169","2,828,826","2,919,404","2,993,262","3,062,515","3,136,508","3,218,184","3,304,220","3,398,473","3,481,371","3,563,689","3,643,271","3,724,518","3,817,382","3,913,644","4,009,291","4,098,288","4,178,154","4,252,290","4,337,602","4,425,656","4,521,989","4,621,414","4,717,009","4,799,266","4,888,124","4,982,937","5,083,411","5,190,496","5,298,207","5,397,950","5,494,455","5,584,267","5,678,146","5,784,603","5,900,907","6,026,380","6,150,482","6,259,250","6,363,196","6,441,282","6,562,696","6,692,694","6,839,487","6,969,122","7,082,263","7,189,858","7,310,832","7,445,873","7,585,099","7,727,093","7,859,879","7,983,437","8,108,667","8,251,224","8,428,600","8,570,384","8,750,990","8,908,555","9,038,937","9,182,575","9,345,569","9,520,818","9,702,386","9,898,547","10,075,115","10,238,287","10,402,906","10,577,756","10,795,162","10,974,421","11,182,576","11,372,202","11,550,542","11,732,581","11,942,118","12,155,602","12,379,259","12,616,578","12,833,505","13,028,182","13,229,741","13,448,407","13,683,805","13,939,096","14,179,830","14,414,659","14,635,552","14,845,960","15,084,877","15,365,917","15,642,265","15,931,445","16,189,203","16,410,414","16,635,972","16,884,064","17,177,778","17,463,220","17,752,916","18,008,407","18,226,892","18,435,341","18,693,531","18,965,479","19,246,679","19,532,532","19,795,077","20,016,368","20,245,425","20,511,458","20,797,157","21,057,706"
China,"82,341","82,692","82,719","82,735","82,747","82,758","82,788","82,798","82,804","82,816","82,827","82,830","82,836","82,858","82,862","82,874","82,875","82,877","82,880","82,881","82,883","82,885","82,886","82,887","82,901","82,918","82,919","82,926","82,929","82,933","82,941","82,947","82,954","82,960","82,965","82,967","82,971","82,971","82,974","82,985","82,992","82,993","82,995","82,995","82,999","83,001","83,017","83,021","83,021","83,022","83,027","83,030","83,036","83,040","83,043","83,046","83,057","83,064","83,075","83,132","83,181","83,221","83,265","83,293","83,325","83,352","83,378","83,396","83,418","83,430","83,449","83,462","83,483","83,500","83,512","83,531","83,534","83,537","83,542","83,545","83,553","83,557","83,565","83,572","83,581","83,585","83,587","83,594","83,602","83,605","83,611","83,612","83,622","83,644","83,660","83,682","83,693","83,707","83,729","83,750","83,784","83,830","83,891","83,959","84,060","84,165","84,292","84,336","84,385","84,428","84,464","84,491","84,528","84,565","84,596","84,619","84,668","84,712","84,737","84,756"
USA,"677,570","709,735","738,792","764,636","792,759","818,744","848,717","886,442","925,232","960,651","987,160","1,010,356","1,035,765","1,064,194","1,095,023","1,131,030","1,160,774","1,188,122","1,212,835","1,237,633","1,263,092","1,292,623","1,321,785","1,347,309","1,367,638","1,385,834","1,408,636","1,430,348","1,457,593","1,484,285","1,507,773","1,527,664","1,550,294","1,570,583","1,592,723","1,620,902","1,645,094","1,666,828","1,686,436","1,706,226","1,725,275","1,745,803","1,768,461","1,793,530","1,816,820","1,837,170","1,859,323","1,881,205","1,901,783","1,924,051","1,965,708","1,988,544","2,007,449","2,026,493","2,045,549","2,066,401","2,089,701","2,116,922","2,142,224","2,162,228","2,182,950","2,208,400","2,234,471","2,263,651","2,297,190","2,330,578","2,356,657","2,388,153","2,424,168","2,462,554","2,504,588","2,552,956","2,596,537","2,637,077","2,681,811","2,727,853","2,779,953","2,837,189","2,890,588","2,935,770","2,982,928","3,040,192","3,097,084","3,158,932","3,219,999","3,291,786","3,355,646","3,413,995","3,479,483","3,545,077","3,616,827","3,695,025","3,770,012","3,833,271","3,898,550","3,961,429","4,028,569","4,100,875","4,170,318","4,248,327","4,315,709","4,371,839","4,433,410","4,498,343","4,568,037","4,634,985","4,705,889","4,764,318","4,813,647","4,862,174","4,918,420","4,973,568","5,032,179","5,095,524","5,149,723","5,199,444","5,251,446","5,305,957","5,360,302","5,415,666"
Spain,"184,948","190,839","194,416","198,674","200,210","204,178","208,389","213,024","219,764","223,759","226,629","229,422","232,128","236,899","239,639","242,988","245,589","247,122","248,301","250,561","253,682","256,855","260,117","262,783","264,663","268,143","269,520","271,095","272,646","274,367","276,505","277,719","278,188","278,803","279,524","280,117","281,904","282,370","282,852","282,480","283,339","283,849","284,986","285,644","286,308","286,509","286,718","287,012","287,406","287,740","288,058","288,390","288,630","288,797","289,046","289,360","289,787","290,289","290,685","291,008","291,189","291,408","291,763","292,348","292,655","293,018","293,352","293,584","293,832","294,166","294,566","294,985","295,549","295,850","296,050","296,351","296,739","297,183","297,625","297,625","297,625","298,869","299,210","299,593","300,136","300,988","300,988","300,988","303,033","303,699","304,574","305,935","307,335","307,335","307,335","311,916","313,274","314,631","317,246","319,501","319,501","319,501","325,862","327,690","329,721","332,510","335,602","335,602","335,602","344,134","349,894","352,847","354,530","361,442","361,442","361,442","370,060","373,692","376,864","355,856"
Italy,"168,941","172,434","175,925","178,972","181,228","183,957","187,327","189,973","192,994","195,351","197,675","199,414","201,505","203,591","205,463","207,428","209,328","210,717","211,938","213,013","214,457","215,858","217,185","218,268","219,070","219,814","221,216","222,104","223,096","223,885","224,760","225,435","225,886","226,699","227,364","228,006","228,658","229,327","229,858","230,158","230,555","231,139","231,732","232,248","232,664","232,997","233,197","233,515","233,836","234,013","234,531","234,801","234,998","235,278","235,561","235,763","236,142","236,305","236,651","236,989","237,290","237,500","237,828","238,159","238,011","238,275","238,499","238,720","238,833","239,410","239,706","239,961","240,136","240,310","240,436","240,578","240,760","240,961","241,184","241,419","241,611","241,819","241,956","242,149","242,363","242,639","242,827","243,061","243,230","243,344","243,506","243,736","243,967","244,216","244,434","244,624","244,752","245,032","245,338","245,590","245,864","246,118","246,286","246,487","246,776","247,158","247,537","247,832","248,070","248,229","248,419","248,803","249,204","249,756","250,103","250,566","250,825","251,237","251,713","252,235"
France,"165,027","147,969","151,793","152,894","155,383","158,050","159,877","158,183","159,828","161,488","162,100","165,842","165,911","166,420","167,178","167,346","168,396","168,693","169,462","170,551","174,191","174,791","176,079","176,658","176,970","177,423","178,225","178,060","178,870","179,506","179,365","179,569","179,927","180,809","181,575","181,826","182,219","182,469","182,584","182,942","182,722","182,913","186,238","186,797","188,625","188,882","189,220","151,325","151,677","152,444","153,055","153,634","153,977","154,188","154,591","155,136","155,561","156,287","156,813","157,220","157,372","157,716","158,174","158,641","159,452","160,093","160,377","160,750","161,267","161,348","161,348","162,936","162,936","162,936","164,260","164,801","165,719","166,378","166,960","166,960","166,960","168,335","168,810","169,473","170,094","170,752","170,752","170,752","172,377","172,377","173,304","173,838","174,674","174,674","174,674","176,754","177,338","178,336","179,398","180,528","180,528","180,528","183,079","183,804","185,196","186,573","187,919","187,919","187,919","191,295","192,334","194,029","195,633","197,921","197,921","197,921","202,775","204,172","206,696","209,365"
Germany,"137,698","141,397","143,724","145,742","147,065","148,453","150,648","153,129","154,999","156,513","157,770","158,758","159,912","161,539","163,009","164,077","164,967","165,664","166,152","167,007","168,162","169,430","170,588","171,324","171,879","172,576","173,171","174,098","174,975","175,699","176,244","176,651","177,289","177,827","178,531","179,021","179,713","179,986","180,328","180,789","181,288","181,895","182,452","183,019","183,294","183,494","183,765","184,091","184,425","184,923","185,414","185,696","185,869","186,205","186,516","186,510","186,795","187,251","187,423","187,671","188,044","188,382","189,504","190,126","190,660","191,216","191,575","192,119","192,778","193,254","193,785","194,399","194,689","194,864","195,392","195,832","196,324","196,717","197,000","197,418","197,558","198,057","198,355","198,765","199,198","199,588","199,812","199,950","200,436","200,766","201,252","201,836","202,345","202,572","202,845","203,487","203,890","204,470","205,142","205,960","206,332","206,741","207,379","207,951","208,811","209,653","210,665","211,077","211,462","212,320","213,080","214,104","215,210","216,315","216,896","217,281","218,500","219,530","220,850","222,269"
UK,"103,093","108,692","114,217","120,067","124,743","129,044","133,495","138,078","143,464","148,377","152,840","157,149","161,145","165,221","171,253","177,454","182,260","186,599","190,584","194,990","201,101","206,715","211,364","215,260","219,183","223,060","226,463","229,705","233,151","236,711","240,161","243,695","246,406","248,818","248,293","250,908","254,195","257,154","259,559","261,184","265,227","267,240","269,127","271,222","272,826","274,762","276,332","277,985","279,856","281,661","283,311","284,868","286,194","287,399","289,140","290,143","291,409","292,950","294,375","295,889","296,857","298,136","299,251","300,469","301,815","303,110","304,331","305,289","306,210","306,862","307,980","309,360","310,250","311,151","311,965","312,654","313,483","283,757","284,276","284,900","285,416","285,768","286,349","286,979","287,621","288,133","288,953","289,603","290,133","291,373","291,911","292,552","293,239","294,066","294,792","295,372","295,817","296,377","297,146","297,914","298,681","299,426","300,111","300,692","301,455","302,301","303,181","303,952","304,695","305,623","306,293","307,184","308,134","309,005","309,763","310,825","311,641","312,789","313,798","313,798"
Turkey,"74,193","78,546","82,329","86,306","90,980","95,591","98,674","101,790","104,912","107,773","110,130","112,261","114,653","117,589","120,204","122,392","124,375","126,045","127,659","129,491","131,744","133,721","135,569","137,115","138,657","139,771","141,475","143,114","144,749","146,457","148,067","149,435","150,593","151,615","152,587","153,548","154,500","155,686","156,827","157,814","158,762","159,797","160,979","162,120","163,103","163,942","164,769","165,555","166,422","167,410","168,340","169,218","170,132","171,121","172,114","173,036","174,023","175,218","176,677","178,239","179,831","181,298","182,727","184,031","185,245","186,493","187,685","188,897","190,165","191,657","193,115","194,511","195,883","197,239","198,613","199,906","201,098","202,284","203,456","204,610","205,758","206,844","207,897","208,938","209,962","210,965","211,981","212,993","214,001","214,993","215,940","216,873","217,799","218,717","219,641","220,572","221,500","222,402","223,315","224,252","225,173","226,100","227,019","227,982","228,924","229,891","230,873","231,869","232,856","233,851","234,934","236,112","237,265","238,450","239,622","240,804","241,997","243,180","244,392","245,635"
Iran,"77,995","79,494","80,868","82,211","83,505","84,802","85,996","87,026","88,194","89,328","90,481","91,472","92,584","93,657","94,640","95,646","96,448","97,424","98,647","99,970","101,650","103,135","104,691","106,220","107,603","109,286","110,767","112,725","114,533","116,635","118,392","120,198","122,492","124,603","126,949","129,341","131,652","133,521","135,701","137,724","139,511","141,591","143,849","146,668","148,950","151,466","154,445","157,562","160,696","164,270","167,156","169,425","171,789","173,832","175,927","177,938","180,156","182,545","184,955","187,427","189,876","192,439","195,051","197,647","200,262","202,584","204,952","207,525","209,970","212,501","215,096","217,724","220,180","222,669","225,205","227,662","230,211","232,863","235,429","237,878","240,438","243,051","245,688","248,379","250,458","252,720","255,117","257,303","259,652","262,173","264,561","267,061","269,440","271,606","273,788","276,202","278,827","281,413","284,034","286,523","288,839","291,172","293,606","296,273","298,909","301,530","304,204","306,752","309,437","312,035","314,786","317,483","320,117","322,567","324,692","326,712","328,844","331,189","333,699","336,324"
