Country_Other,April16,April17,April18,April19,April20,April21,April22,April23,April24,April25,April26,April27,April28,April29,April30,May01,May02,May03,May04,May05,May06,May07,May08,May09,May10,May11,May12,May13,May14,May15,May16,May17,May18,May19,May20,May21,May22,May23,May24,May25,May26,May27,May28,May29,May30,May31,June01,June02,June03,June04,June05,June06,June07,June08,June09,June10,June11,June12,June13,June14,June15,June16,June17,June18,June19,June20,June21,June22,June23,June24,June25,June26,June27,June28,June29,June30,July01,July02,July03,July04,July05,July06,July07,July08,July09,July10,July11,July12,July13,July14,July15,July16,July17,July18,July19,July20,July21,July22,July23,July24,July25,July26,July27,July28,July29,July30,July31,August01,August02,August03,August04,August05,August06,August07,August08,August09,August10,August11,August12,August13,August14,August15,August16,August17,August18,August19,August20,August21,August22,August23,August24,August25,August26,August27,August28,August29,August30,August31,September01,September02,September03,September04,September05,September06,September07,September08,September09,September10,September11,September12,September13,September14,September15,September16,September17,September18,September19,September20,September21
World,"547,069","571,573","596,482","625,098","646,328","690,226","717,444","745,413","798,371","836,612","877,411","921,320","953,309","1,000,033","1,039,058","1,080,100","1,120,930","1,153,847","1,194,738","1,240,705","1,299,261","1,341,022","1,382,372","1,436,206","1,490,444","1,526,974","1,597,865","1,657,718","1,702,394","1,756,649","1,810,160","1,856,566","1,905,261","1,956,361","2,020,879","2,079,017","2,156,382","2,244,885","2,299,139","2,362,984","2,428,132","2,494,856","2,577,250","2,656,144","2,734,546","2,843,986","2,900,380","3,007,581","3,161,280","3,242,111","3,332,058","3,408,325","3,456,944","3,532,224","3,598,758","3,730,056","3,835,183","3,921,424","4,026,795","4,106,225","4,196,981","4,302,787","4,411,367","4,509,468","4,620,378","4,733,454","4,834,139","4,916,914","5,036,723","5,169,767","5,254,956","5,353,440","5,454,548","5,549,958","5,659,387","5,790,762","5,934,994","6,135,272","6,292,523","6,433,931","6,531,107","6,637,466","6,844,977","7,025,276","7,182,939","7,327,360","7,473,939","7,575,523","7,691,451","7,841,591","8,031,342","8,272,730","8,448,949","8,606,731","8,730,198","8,901,510","9,105,030","9,344,748","9,530,110","9,716,972","9,907,478","10,042,497","10,226,484","10,451,282","10,689,524","10,930,772","11,155,046","11,324,112","11,439,262","11,665,880","11,909,485","12,156,387","12,350,433","12,537,854","12,715,384","12,892,507","13,176,494","13,433,738","13,697,952","13,919,508","14,140,697","14,326,447","14,553,626","14,784,709","15,040,338","15,295,042","15,508,556","15,700,385","15,900,293","16,075,491","16,351,171","16,600,858","16,868,028","17,086,370","17,290,446","17,501,168","17,701,271","17,932,640","18,186,475","18,435,692","18,653,264","18,896,020","19,155,936","19,356,103","19,580,338","19,821,686","20,091,697","20,332,627","20,572,925","20,800,189","21,020,607","21,269,438","21,531,185","21,794,093","22,032,777","22,330,695","22,577,788","22,825,021","23,104,536"
China,"77,892","77,994","77,029","77,062","77,084","77,123","77,151","77,207","77,257","77,346","77,394","77,474","77,555","77,578","77,610","77,642","77,685","77,713","77,766","77,853","77,911","77,957","77,993","78,046","78,120","78,144","78,171","78,189","78,195","78,209","78,219","78,227","78,238","78,241","78,244","78,249","78,255","78,258","78,261","78,268","78,277","78,280","78,288","78,291","78,302","78,304","78,307","78,315","78,314","78,319","78,327","78,329","78,332","78,341","78,351","78,357","78,361","78,365","78,367","78,369","78,370","78,377","78,379","78,394","78,398","78,410","78,413","78,413","78,425","78,428","78,433","78,439","78,444","78,451","78,460","78,469","78,479","78,487","78,499","78,509","78,516","78,518","78,528","78,548","78,590","78,609","78,623","78,634","78,648","78,674","78,693","78,719","78,737","78,758","78,775","78,799","78,817","78,840","78,855","78,873","78,889","78,908","78,918","78,934","78,944","78,957","78,974","78,989","79,003","79,013","79,030","79,047","79,057","79,088","79,123","79,168","79,232","79,284","79,342","79,398","79,462","79,519","79,575","79,603","79,642","79,685","79,745","79,792","79,851","79,895","79,925","79,961","80,015","80,046","80,091","80,126","80,153","80,177","80,208","80,234","80,251","80,263","80,284","80,302","80,320","80,335","80,347","80,358","80,377","80,386","80,399","80,415","80,426","80,437","80,448","80,456","80,464","80,477","80,484"
USA,"57,508","60,510","68,269","71,187","72,389","82,923","84,050","85,922","110,432","118,162","118,781","138,990","142,238","147,411","152,324","161,563","173,318","178,263","188,027","200,626","212,981","217,250","223,603","238,078","256,336","262,225","296,746","310,259","318,027","327,751","339,232","346,389","356,383","361,180","370,076","382,169","403,201","446,914","451,702","464,670","479,969","490,130","498,725","519,569","535,238","599,867","615,416","645,974","688,670","712,252","738,646","751,695","761,708","773,480","788,862","808,494","816,086","841,934","854,106","870,050","889,866","903,041","918,796","930,994","956,061","972,941","980,355","1,002,929","1,020,381","1,040,605","1,052,293","1,068,703","1,081,437","1,093,456","1,117,177","1,143,334","1,164,680","1,191,091","1,235,488","1,260,405","1,289,564","1,324,947","1,354,863","1,392,679","1,426,428","1,460,495","1,490,446","1,517,084","1,549,469","1,600,195","1,645,962","1,679,633","1,741,233","1,775,219","1,802,338","1,849,989","1,886,583","1,942,637","1,979,617","2,028,074","2,061,692","2,090,129","2,136,603","2,185,894","2,245,044","2,284,965","2,327,572","2,362,903","2,380,217","2,446,798","2,481,680","2,540,137","2,576,668","2,616,967","2,638,470","2,664,701","2,715,934","2,755,348","2,812,603","2,843,204","2,875,147","2,904,389","2,922,724","2,973,587","3,011,098","3,062,331","3,095,484","3,127,418","3,148,080","3,167,063","3,217,981","3,254,282","3,313,861","3,347,940","3,375,838","3,408,799","3,425,723","3,456,263","3,496,913","3,547,032","3,575,096","3,635,854","3,707,000","3,725,970","3,758,629","3,796,760","3,846,095","3,879,960","3,917,962","3,950,354","3,974,949","4,027,826","4,068,086","4,119,158","4,155,039","4,191,894","4,223,693","4,250,140","4,299,525"
Spain,"74,797","74,797","74,797","77,357","80,587","82,514","85,915","89,250","92,355","95,708","117,727","120,832","123,903","132,929","137,984","142,450","146,255","148,558","151,633","154,718","159,359","163,919","168,408","173,157","176,439","177,846","180,470","183,227","186,480","188,967","192,253","195,945","196,958","196,958","196,958","196,958","196,958","196,958","196,958","196,958","196,958","196,958","196,958","196,958","196,958","196,958",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Italy,"40,164","42,727","44,927","47,055","48,877","51,600","54,543","57,576","60,498","63,120","64,928","66,624","68,941","71,252","75,945","78,249","79,914","81,654","82,879","85,231","93,245","96,276","99,023","103,031","105,186","106,587","109,039","112,541","115,288","120,205","122,810","125,176","127,326","129,401","132,282","134,560","136,720","138,840","140,479","141,981","144,658","147,101","150,604","152,844","155,633","157,507","158,355","160,092","160,938","161,895","163,781","165,078","165,837","166,584","168,646","169,939","171,338","173,085","174,865","176,370","177,010","178,526","179,455","180,544","181,907","182,453","182,893","183,426","184,585","186,111","186,725","187,615","188,584","188,891","189,196","190,248","190,717","191,083","191,467","191,944","192,108","192,241","192,815","193,640","193,978","194,273","194,579","194,928","195,106","195,441","196,016","196,246","196,483","196,806","196,949","197,162","197,431","197,628","197,842","198,192","198,320","198,446","198,593","198,756","199,031","199,796","199,974","200,229","200,460","200,589","200,766","200,976","201,323","201,642","201,947","202,098","202,248","202,461","202,697","202,923","203,326","203,640","203,786","203,968","204,142","204,506","204,686","204,960","205,203","205,470","205,662","206,015","206,329","206,554","206,902","208,224","208,536","207,653","207,944","208,201","208,490","209,027","209,610","210,015","210,238","210,801","211,272","211,885","212,432","213,191","213,634","213,950","214,645","215,265","215,954","216,807","217,716","218,351","218,703"
France,"32,812","34,420","35,983","36,578","37,409","39,181","40,657","42,088","43,493","44,594","44,903","45,513","46,886","48,228","49,476","50,212","50,562","50,784","51,371","52,736","53,972","55,027","55,782","56,038","56,217","56,724","57,785","58,673","59,605","60,448","61,066","61,213","61,728","62,563","63,354","63,858","64,209","64,547","64,617","65,199","65,879","66,584","67,191","67,803","68,268","68,355","68,440","68,812","69,455","69,976","70,504","70,806","70,842","71,062","71,506","71,832","72,149","72,572","72,808","72,859","73,044","73,335","73,667","73,887","74,117","74,312","74,372","74,612","74,871","75,127","75,351","75,351","75,649","75,649","75,649","76,274","76,539","76,802","77,060","77,060","77,060","77,308","77,655","77,985","78,170","78,388","78,388","78,388","78,597","78,597","78,820","79,036","79,233","79,233","79,233","79,233","79,734","79,957","80,472","80,815","80,815","80,815","81,082","81,311","81,311","81,500","81,500","81,500","81,500","81,500","82,166","82,166","82,460","82,836","82,836","82,836","82,836","82,836","83,472","83,472","83,848","83,848","83,848","84,065","84,065","84,065","84,065","84,829","84,950","84,973","85,199","85,524","85,524","85,984","86,177","86,177","86,177","86,469","86,712","86,963","87,206","87,206","87,447","87,447","87,836","88,226","88,524","88,742","89,059","89,059","89,059","89,507","89,891","90,335","90,840","91,574","91,574","91,574","93,008"
Germany,"77,000","83,114","85,400","88,000","91,500","95,200","99,400","103,300","106,800","109,800","112,000","114,500","117,400","120,400","123,500","126,900","129,000","130,600","132,700","135,100","137,696","139,900","141,700","143,300","144,400","145,617","147,200","148,700","150,300","151,700","152,600","153,400","154,600","155,700","156,900","158,000","159,000","159,900","160,300","161,200","162,000","162,800","163,200","164,100","164,900","165,200","165,900","166,400","167,300","167,800","168,500","168,900","169,100","169,600","170,200","170,700","171,200","171,600","171,900","172,200","172,600","173,100","173,600","174,100","174,400","174,700","174,900","175,300","175,700","176,300","176,800","177,100","177,500","177,700","178,100","179,100","179,800","180,300","181,000","181,300","181,700","182,200","182,700","182,700","183,600","184,000","184,500","184,600","185,100","185,500","186,000","186,400","187,200","187,500","187,800","187,800","188,100","188,600","189,000","190,400","190,600","190,600","191,400","192,000","192,000","192,000","192,300","193,600","193,600","194,700","194,700","194,700","196,200","196,200","197,400","197,400","197,900","198,900","199,900","200,800","202,550","202,900","202,900","202,900","202,900","203,900","204,800","205,800","208,950","209,600","209,600","209,600","214,233","215,495","217,061","217,484","217,842","219,900","221,800","223,100","224,600","224,600","226,208","226,208","227,000","230,600","231,900","233,300","233,300","235,300","235,700","237,550","239,100","239,100","241,300","243,000","243,500","244,000","246,300"
UK,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Turkey,"7,089","8,631","10,453","11,976","13,430","14,918","16,477","18,491","21,737","25,582","29,140","33,791","38,809","44,040","48,886","53,808","58,259","63,151","68,166","73,285","78,202","82,984","86,396","89,480","92,691","95,780","98,889","101,715","104,030","106,133","108,137","109,962","111,577","112,895","113,987","114,990","116,111","117,602","118,694","120,015","121,507","122,793","124,369","125,963","126,984","127,973","128,947","129,921","130,852","131,778","133,400","135,322","137,969","141,380","144,598","146,839","147,860","149,102","150,087","151,417","152,364","153,379","154,640","156,022","157,516","158,828","160,240","161,533","162,848","164,234","165,706","167,198","169,182","170,595","171,809","173,111","175,422","176,965","178,278","179,492","180,680","182,995","185,292","187,511","190,390","191,883","193,217","194,515","195,671","196,720","197,733","198,820","199,834","201,013","202,010","203,002","204,011","205,214","206,365","207,374","208,477","209,487","210,469","211,561","212,557","213,539","214,535","215,516","216,494","217,497","218,491","219,506","220,546","221,574","222,656","223,759","224,970","226,155","227,089","228,057","228,980","229,972","230,969","231,971","232,913","233,915","234,797","235,569","236,370","237,165","237,908","238,795","239,797","240,792","241,809","242,812","243,839","244,926","245,929","246,876","248,087","249,108","250,092","251,105","252,152","253,245","254,188","255,407","256,524","257,731","258,833","260,058","261,260","262,602","263,745","264,805","266,117","267,233","268,435"
Iran,"52,229","54,064","55,987","57,023","59,273","60,965","63,113","64,843","66,599","68,193","69,657","70,933","72,439","73,791","75,103","76,318","77,350","78,422","79,379","80,475","81,587","82,744","83,837","85,064","86,143","87,422","88,357","89,428","90,539","91,836","93,147","94,464","95,661","97,173","98,808","100,564","102,276","104,072","105,801","107,713","109,437","111,176","112,988","114,931","116,827","118,848","121,004","123,077","125,206","127,485","129,741","132,038","134,349","136,360","138,457","140,590","142,663","144,649","146,748","148,674","150,590","152,675","154,812","156,991","159,192","161,384","163,591","166,427","169,160","172,096","175,103","177,852","180,661","183,310","186,180","188,758","191,487","194,098","196,446","198,949","201,330","204,083","207,000","209,463","212,176","215,015","217,666","219,993","222,539","225,270","227,561","230,608","232,873","235,300","237,788","240,087","242,351","244,840","247,230","249,212","251,319","253,213","255,144","257,019","259,116","261,200","263,519","265,830","268,102","270,228","272,535","274,932","277,463","279,724","282,122","284,371","286,642","288,620","290,244","292,058","293,811","295,630","297,486","299,157","300,881","302,528","304,236","305,866","307,702","309,464","311,365","313,058","314,870","316,638","318,270","319,847","321,421","323,233","325,124","326,801","328,595","330,308","332,131","333,900","335,572","337,414","339,111","340,842","342,539","344,516","346,242","348,013","349,984","352,019","353,848","355,505","357,632","359,570","361,523"
Russia,"2,304","2,590","3,057","3,291","3,446","3,873","4,420","4,891","5,568","6,250","6,767","7,346","8,456","10,286","11,619","13,220","15,013","16,639","18,095","19,865","21,327","23,803","26,608","31,916","34,306","39,801","43,512","48,003","53,530","58,226","63,166","67,373","70,209","76,130","85,392","92,681","99,825","107,936","113,299","118,798","131,129","142,208","150,993","159,257","167,469","171,883","175,877","186,985","195,957","204,623","212,680","221,388","226,731","230,688","242,397","252,783","261,150","269,370","274,641","280,050","284,539","294,306","304,342","313,963","324,406","334,592","339,711","344,416","356,429","368,822","375,164","384,152","393,352","399,087","403,430","412,650","422,931","428,978","437,893","446,879","450,750","454,329","463,880","472,511","481,316","489,068","497,446","501,061","504,021","512,825","523,249","531,692","539,373","546,863","550,344","553,602","562,384","572,053","580,330","588,774","597,140","600,250","603,329","612,217","620,333","629,655","638,410","646,524","650,173","653,593","661,471","669,026","676,357","683,592","690,207","693,422","696,681","703,175","710,298","716,396","722,964","729,411","732,968","736,101","742,628","749,423","755,513","761,330","767,477","770,639","773,095","779,747","786,150","792,561","798,466","804,383","806,982","809,387","815,705","821,169","826,935","832,747","838,126","840,949","843,277","850,049","856,458","862,373","868,107","873,535","876,225","878,700","884,305","890,114","895,868","901,207","906,462","909,357","911,973"
Brazil,"14,026","14,026","14,026","22,130","22,130","24,325","25,318","26,573","27,655","29,160","30,152","31,142","32,544","34,132","35,935","38,039","40,937","42,991","45,815","48,221","51,370","55,350","59,297","61,685","64,957","67,384","72,597","78,424","79,479","84,970","89,672","94,122","100,459","106,794","116,683","125,960","135,430","142,587","149,911","153,833","158,593","166,647","193,181","193,181","205,371","206,555","211,080","240,627","266,132","274,997","288,652","302,084","302,084","325,602","325,602","380,300","396,692","396,692","427,610","437,512","453,568","464,774","503,507","503,507","520,360","543,186","579,226","579,226","613,345","649,908","649,908","697,526","715,905","733,848","757,462","790,040","826,866","916,147","945,915","978,615","978,615","978,615","1,072,229","1,117,922","1,152,467","1,185,596","1,213,512","1,213,512","1,213,512","1,213,512","1,255,564","1,366,775","1,366,775","1,366,775","1,371,229","1,409,202","1,465,970","1,532,138","1,570,237","1,592,281","1,617,480","1,634,274","1,667,667","1,721,560","1,787,419","1,824,095","1,884,051","1,884,051","1,884,051","1,912,319","1,970,767","2,020,637","2,047,660","2,068,394","2,094,293","2,118,460","2,163,812","2,243,124","2,309,477","2,356,640","2,384,302","2,404,272","2,432,456","2,478,494","2,554,179","2,615,254","2,653,407","2,670,755","2,709,638","2,709,638","2,778,709","2,848,395","2,908,848","2,947,250","2,976,796","3,006,812","3,031,559","3,097,734","3,159,096","3,210,405","3,247,610","3,278,243","3,296,702","3,317,227","3,355,564","3,397,234","3,453,336","3,497,337","3,530,655","3,553,421","3,573,958","3,613,184","3,671,128","3,720,312","3,753,082","3,789,139","3,820,095","3,851,227","3,887,199"
Canada,"9,729","10,543","11,207","11,843","12,586","13,188","13,986","14,761","15,469","16,425","17,321","18,268","19,190","20,327","21,423","22,751","23,801","24,908","26,017","26,993","28,171","28,972","30,406","31,249","32,096","32,994","34,042","35,164","36,091","36,895","37,819","38,550","39,228","40,050","40,776","41,715","42,594","43,305","43,985","44,638","45,339","46,164","46,840","47,518","48,103","48,879","49,726","50,357","51,048","51,739","52,568","53,614","54,233","55,000","55,572","56,639","57,658","58,523","59,354","60,272","61,042","61,443","62,017","62,496","63,003","63,488","63,886","64,334","64,704","65,091","65,425","65,726","65,973","66,191","67,178","67,594","67,744","68,347","68,693","68,990","69,239","69,570","69,883","70,247","70,574","70,901","71,266","71,467","71,841","72,170","72,485","72,836","96,689","96,914","97,051","97,474","97,757","98,142","98,519","98,873","99,115","99,355","99,860","100,134","100,465","100,862","101,227","101,436","101,574","101,597","102,450","102,788","103,106","103,435","103,566","103,728","106,355","106,746","107,148","107,553","107,942","108,218","108,484","109,059","109,357","109,822","110,288","110,648","110,878","111,112","111,694","112,050","112,455","112,825","113,234","113,501","113,664","114,227","114,607","115,050","115,444","115,926","116,136","116,357","116,459","117,565","118,271","118,990","119,674","120,075","120,431","121,224","121,840","122,449","123,109","123,723","124,187","124,691","125,534"
Belgium,"7,562","7,961","8,348","8,757","8,895","9,002","9,433","9,800","10,122","10,417","10,785","10,878","10,943","11,283","11,576","11,892","12,211","12,309","12,378","12,441","12,731","12,980","13,201","13,411","13,642","13,697","13,732","13,937","14,111","14,301","14,460","14,630","14,657","14,687","14,847","14,988","15,123","15,155","15,272","15,297","15,320","15,465","15,572","15,682","15,769","15,887","15,919","15,934","15,959","16,048","16,112","16,190","16,291","16,315","16,324","16,392","16,453","16,498","16,547","16,589","16,610","16,625","16,684","16,724","16,751","16,771","16,771","16,771","16,771","16,771","16,890","16,918","16,941","16,941","16,941","16,984","17,021","17,044","17,073","17,091","17,091","17,091","17,122","17,138","17,159","17,179","17,196","17,196","17,196","17,223","17,242","17,253","17,269","17,289","17,289","17,289","17,321","17,330","17,347","17,369","17,394","17,425","17,439","17,452","17,476","17,492","17,513","17,546","17,573","17,590","17,598","17,639","17,661","17,700","17,728","17,766","17,780","17,792","17,841","17,883","17,913","17,941","17,981","17,994","18,003","18,048","18,078","18,131","18,165","18,204","18,225","18,242","18,291","18,331","18,360","18,382","18,403","18,415","18,422","18,457","18,490","18,513","18,534","18,555","18,567","18,576","18,602","18,635","18,659","18,689","18,709","18,723","18,737","18,789","18,810","18,854","18,908","18,945","18,965"
Netherlands,250,250,250,250,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Switzerland,"15,900","16,400","17,100","17,800","18,600","19,400","19,900","20,600","21,000","21,300","21,800","22,200","22,600","22,600","23,400","23,900","24,200","24,500","25,200","25,400","25,700","25,900","26,100","26,400","26,600","26,800","26,800","27,100","27,100","27,100","27,400","27,500","27,600","27,700","27,800","27,900","27,900","28,000","28,100","28,200","28,200","28,300","28,300","28,300","28,400","28,500","28,500","28,500","28,600","28,600","28,600","28,700","28,700","28,700","28,700","28,700","28,800","28,800","28,800","28,800","28,900","28,900","28,900","28,900","28,900","28,900","29,000","29,000","29,000","29,000","29,000","29,000","29,100","29,100","29,100","29,200","29,200","29,200","29,200","29,200","29,300","29,300","29,300","29,400","29,400","29,400","29,500","29,600","29,600","29,800","29,800","29,900","29,900","29,900","30,300","30,300","30,300","30,500","30,500","30,500","30,500","30,700","30,900","31,000","31,100","31,100","31,100","31,300","31,500","31,500","31,600","31,600","31,600","31,600","31,900","32,300","32,400","32,400","32,700","32,700","32,900","33,200","33,300","33,300","33,500","33,500","33,900","33,900","34,100","34,400","34,400","34,400","34,800","34,800","34,800","35,200","35,800","36,100","36,300","36,500","36,500","36,500","37,100","37,100","37,700","37,700","38,100","38,100","38,100","38,500","38,900","39,600","39,900","39,900","39,900","40,500","40,500","40,500","40,500"
