Country_Other,April16,April17,April18,April19,April20,April21,April22,April23,April24,April25,April26,April27,April28,April29,April30,May01,May02,May03,May04,May05,May06,May07,May08,May09,May10,May11,May12,May13,May14,May15,May16,May17,May18,May19,May20,May21,May22,May23,May24,May25,May26,May27,May28,May29,May30,May31,June01,June02,June03,June04,June05,June06,June07,June08,June09,June10,June11,June12,June13,June14,June15,June16,June17,June18,June19,June20,June21,June22,June23,June24,June25,June26,June27,June28,June29,June30,July01,July02,July03,July04,July05,July06,July07,July08,July09,July10,July11,July12,July13,July14,July15,July16,July17,July18,July19,July20,July21,July22,July23,July24,July25,July26,July27,July28,July29,July30,July31,August01,August02,August03,August04,August05,August06,August07,August08,August09,August10,August11,August12,August13,August14,August15,August16,August17,August18,August19,August20,August21,August22,August23,August24,August25,August26,August27,August28,August29,August30,August31,September01,September02,September03,September04,September05,September06,September07,September08,September09,September10,September11,September12,September13,September14,September15,September16,September17,September18,September19,September20,September21,September22,September23,September24,September25,September26,September27,September28,September29,September30,October01,October02,October03,October04,October05,October06,October07,October08,October09,October10,October11,October12,October13,October14,October15,October16,October17,October18,October19,October20,October21,October22,October23,October24,October25,October26,October27,October28,October29,October30,October31,November01,November02,November03,November04,November05,November06,November07,November08,November09,November10,November11,November12,November13,November14,November15,November16,November17,November18,November19,November20,November21,November22,November23,November24,November25,November26,November27,November28,November29,November30,December01,December02,December03,December04,December05,December06,December07,December08
World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"90,410,000","90,410,000","90,410,000","90,410,000","90,410,000","90,410,000","90,410,000","90,410,000","90,410,000","90,410,000","90,410,000","90,410,000","90,410,000","90,410,000","90,410,000","90,410,000","90,410,000","90,410,000","90,410,000","90,410,000","90,410,000","90,410,000","90,410,000","90,410,000","90,410,000","90,410,000","90,410,000","90,410,000","90,410,000","90,410,000","90,410,000","90,410,000","90,410,000","90,410,000","90,410,000","90,410,000","90,410,000","90,410,000","90,410,000","90,410,000","90,410,000","90,410,000","90,410,000","90,410,000","90,410,000","90,410,000","90,410,000","90,410,000","90,410,000","90,410,000","90,410,000","90,410,000","90,410,000","90,410,000","90,410,000","90,410,000","90,410,000","90,410,000","90,410,000","90,410,000","90,410,000","90,410,000","90,410,000","90,410,000","90,410,000","90,410,000","90,410,000","90,410,000","90,410,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000","160,000,000"
USA,"3,398,140","3,572,257","3,722,145","3,861,549","4,026,360","4,187,392","4,325,342","4,696,704","5,015,602","5,279,237","5,470,464","5,696,928","5,919,847","6,139,911","6,391,887","6,699,878","6,931,132","7,196,740","7,462,431","7,727,811","8,005,435","8,297,562","8,636,435","8,918,263","9,444,525","9,619,855","9,935,720","10,269,996","10,638,893","11,090,900","11,949,625","11,875,580","12,300,744","12,645,473","13,017,793","13,439,114","13,909,905","14,357,969","14,749,756","15,187,647","15,532,159","15,875,473","16,331,312","16,810,778","17,270,841","17,672,567","18,150,053","18,603,174","19,096,671","19,568,069","20,267,335","20,818,428","21,291,677","21,725,064","22,140,676","22,625,758","23,073,470","23,792,191","24,292,171","24,794,617","25,259,077","25,729,368","26,243,811","26,723,179","27,337,385","27,975,863","28,491,990","29,013,182","29,552,690","30,059,864","30,732,552","31,352,500","31,998,024","32,592,368","33,189,513","34,198,027","34,855,642","35,538,123","36,297,195","36,953,633","37,600,814","38,217,640","38,801,591","39,479,437","40,161,137","41,010,213","41,770,336","42,469,607","43,252,833","44,030,877","44,838,403","45,697,029","46,608,707","47,598,277","48,341,735","49,161,907","49,913,553","50,732,870","51,552,175","52,520,426","53,352,250","54,219,575","55,018,236","55,805,416","56,684,379","57,521,144","58,591,052","59,226,909","59,935,508","60,937,541","61,619,037","62,381,295","63,139,605","63,896,457","64,610,547","65,433,251","66,178,615","66,942,357","67,551,161","68,524,602","69,362,009","70,224,673","70,960,630","71,687,781","72,367,651","73,115,709","73,868,332","74,718,580","75,475,175","76,159,378","76,883,479","77,931,407","78,632,566","79,472,486","80,299,670","81,102,397","81,830,079","82,624,841","83,350,119","84,098,411","84,881,529","85,895,717","86,759,202","87,474,919","88,067,850","88,656,974","89,283,072","89,984,789","90,845,706","91,703,503","92,403,500","92,890,322","93,631,958","94,369,067","95,235,022","96,223,461","97,310,312","98,166,609","98,909,775","99,681,973","100,582,090","101,576,073","102,547,355","103,575,523","104,335,162","105,401,706","106,173,222","107,536,225","108,431,960","109,570,446","110,526,283","111,470,266","112,503,131","113,319,318","114,158,849","115,343,815","116,498,135","117,601,422","118,486,898","119,497,624","120,523,572","121,567,138","122,695,348","123,736,447","124,792,668","125,683,881","127,057,107","127,834,876","128,650,157","129,804,568","131,056,713","132,208,493","133,229,328","134,476,092","135,424,933","140,194,814","141,669,328","142,950,353","144,186,274","145,037,425","149,694,768","150,849,009","152,050,414","153,594,821","155,148,732","156,554,926","157,602,857","159,284,960","160,595,579","161,917,567","163,454,705","165,142,771","166,751,484","168,156,190","170,137,170","171,691,691","173,235,829","174,984,245","177,156,841","179,039,707","180,673,023","182,630,295","184,357,020","186,108,026","187,143,721","189,289,734","191,033,224","192,274,115","194,909,340","196,207,048","199,906,513","201,769,463","203,884,001","205,841,812","207,456,975","209,499,273","211,198,946"
Spain,"930,230","930,230","930,230","930,230","930,230","930,230","930,230","930,230","930,230","930,230","1,199,548","1,345,560","1,345,560","1,414,477","1,455,306","1,528,833","1,528,833","1,932,455","1,932,455","1,932,455","1,932,455","1,932,455","1,932,455","2,467,761","2,467,761","2,467,761","2,467,761","2,467,761","2,467,761","2,467,761","3,037,840","3,037,840","3,037,840","3,037,840","3,037,840","3,037,840","3,037,840","3,037,840","3,556,567","3,556,567","3,556,567","3,556,567","3,556,567","3,556,567","3,556,567","4,063,843","4,063,843","4,063,843","4,063,843","4,063,843","4,063,843","4,063,843","4,063,843","4,465,338","4,465,338","4,465,338","4,465,338","4,465,338","4,465,338","4,465,338","4,826,516","4,826,516","4,826,516","4,826,516","4,826,516","4,826,516","5,162,909","5,162,909","5,162,909","5,162,909","5,162,909","5,162,909","5,162,909","5,162,909","5,162,909","5,448,984","5,448,984","5,448,984","5,448,984","5,448,984","5,448,984","5,734,599","5,734,599","5,734,599","5,734,599","5,734,599","5,734,599","5,734,599","6,026,446","6,026,446","6,026,446","6,026,446","6,026,446","6,026,446","6,026,446","6,026,446","6,320,836","6,320,836","6,320,836","6,320,836","6,320,836","6,320,836","6,320,836","6,678,414","6,678,414","6,678,414","6,678,414","6,678,414","6,678,414","6,678,414","7,064,329","7,064,329","7,064,329","7,064,329","7,064,329","7,064,329","7,472,031","7,472,031","7,472,031","7,472,031","7,472,031","7,472,031","7,472,031","7,955,615","7,955,615","7,955,615","7,955,615","7,955,615","7,955,615","7,955,615","8,517,446","8,517,446","8,517,446","8,517,446","8,517,446","8,517,446","8,517,446","9,210,337","9,210,337","9,210,337","9,210,337","9,210,337","9,210,337","9,210,337","9,987,326","9,987,326","9,987,326","9,987,326","9,987,326","9,987,326","9,987,326","10,756,835","10,756,835","10,756,835","10,756,835","10,756,835","10,756,835","10,756,835","11,820,505","11,820,505","11,820,505","11,820,505","11,820,505","11,820,505","11,820,505","12,723,989","12,723,989","12,723,989","12,723,989","12,723,989","12,723,989","12,723,989","13,689,776","13,689,776","13,689,776","13,689,776","13,689,776","13,689,776","13,689,776","14,590,713","14,590,713","14,590,713","14,590,713","14,590,713","14,590,713","14,590,713","15,503,165","15,503,165","15,503,165","15,503,165","15,503,165","15,503,165","15,503,165","16,690,076","16,690,076","16,690,076","16,690,076","16,690,076","16,690,076","16,690,076","18,072,174","18,072,174","18,072,174","18,072,174","18,072,174","18,072,174","18,072,174","19,394,289","19,394,289","19,394,289","19,394,289","19,394,289","19,394,289","19,394,289","20,742,051","20,742,051","20,742,051","20,742,051","20,742,051","20,742,051","20,742,051","21,917,246","21,917,246","21,917,246","21,917,246","21,917,246","21,917,246","21,917,246","22,992,742","22,992,742","22,992,742","22,992,742","22,992,742","22,992,742","22,992,742","24,101,272","24,101,272"
Italy,"1,178,403","1,244,108","1,305,833","1,356,541","1,398,024","1,450,150","1,513,251","1,579,909","1,642,356","1,707,743","1,757,659","1,789,662","1,846,934","1,910,761","1,979,217","2,053,425","2,108,837","2,153,772","2,191,403","2,246,666","2,310,929","2,381,288","2,445,063","2,514,234","2,565,912","2,606,652","2,673,655","2,735,628","2,807,504","2,875,680","2,944,859","3,004,960","3,041,366","3,104,524","3,171,719","3,243,398","3,318,778","3,391,188","3,447,012","3,482,253","3,539,927","3,607,251","3,683,144","3,755,279","3,824,621","3,878,739","3,910,133","3,962,292","3,999,591","4,049,544","4,114,572","4,187,057","4,236,535","4,236,535","4,318,650","4,381,349","4,443,821","4,514,441","4,564,191","4,620,718","4,648,825","4,695,707","4,773,408","4,831,562","4,889,103","4,943,825","4,984,370","5,013,342","5,053,827","5,107,093","5,163,154","5,215,922","5,277,273","5,314,619","5,341,837","5,390,110","5,445,476","5,498,719","5,575,815","5,600,826","5,638,288","5,660,454","5,703,673","5,754,116","5,806,668","5,854,621","5,900,552","5,938,811","5,962,744","6,004,611","6,053,060","6,103,492","6,154,259","6,202,524","6,238,049","6,262,302","6,305,412","6,354,730","6,415,041","6,468,375","6,520,046","6,560,572","6,586,123","6,634,293","6,690,311","6,752,169","6,820,613","6,873,496","6,916,765","6,940,801","6,984,589","7,041,040","7,099,713","7,158,909","7,212,207","7,249,844","7,276,276","7,316,918","7,369,576","7,420,764","7,467,487","7,520,610","7,557,417","7,588,083","7,642,059","7,713,154","7,790,596","7,862,592","7,940,266","8,007,637","8,053,551","8,125,892","8,219,421","8,313,445","8,410,510","8,509,618","8,591,341","8,644,859","8,725,909","8,828,868","8,921,658","9,034,743","9,142,401","9,219,257","9,271,810","9,364,213","9,460,203","9,554,389","9,653,269","9,745,975","9,818,118","9,863,427","9,943,944","10,044,551","10,146,324","10,246,163","10,349,386","10,432,814","10,488,676","10,575,979","10,679,675","10,787,694","10,894,963","10,999,350","11,087,064","11,138,173","11,228,358","11,333,922","11,452,158","11,572,459","11,691,391","11,784,105","11,844,346","11,944,088","12,069,402","12,197,500","12,326,971","12,460,055","12,564,713","12,650,155","12,762,699","12,914,895","13,077,827","13,228,204","13,394,041","13,540,582","13,639,444","13,784,181","13,962,029","14,132,421","14,314,453","14,492,122","14,654,002","14,778,688","14,953,086","15,152,038","15,353,490","15,568,575","15,784,461","15,967,918","16,103,649","16,285,936","16,497,767","16,717,651","16,951,896","17,183,569","17,374,713","17,522,438","17,740,196","17,965,836","18,200,508","18,455,416","18,683,111","18,878,386","19,031,049","19,239,507","19,474,341","19,724,527","19,962,604","20,199,829","20,388,576","20,537,521","20,726,180","20,956,187","21,188,898","21,411,701","21,637,641","21,814,575","21,945,099","22,127,199","22,334,342","22,561,071","22,767,130","22,962,114","23,125,664","23,236,881","23,386,113"
France,"333,807","463,662","463,662","463,662","463,662","463,662","463,662","463,662","463,662","463,662","463,662","463,662","463,662","463,662","724,574","1,100,228","1,100,228","1,100,228","1,100,228","1,100,228","1,100,228","1,384,633","1,384,633","1,384,633","1,384,633","1,384,633","1,384,633","1,384,633","1,384,633","1,384,633","1,384,633","1,384,633","1,384,633","1,384,633","1,384,633","1,384,633","1,384,633","1,384,633","1,384,633","1,384,633","1,384,633","1,384,633","1,384,633","1,384,633","1,384,633","1,384,633","1,384,633","1,384,633","1,384,633","1,384,633","1,384,633","1,384,633","1,384,633","1,384,633","1,384,633","1,384,633","1,384,633","1,384,633","1,384,633","1,384,633","1,384,633","1,384,633","1,384,633","1,384,633","1,384,633","1,384,633","1,384,633","1,384,633","1,384,633","1,384,633","1,384,633","1,384,633","1,384,633","1,384,633","1,384,633","1,384,633","1,384,633","1,384,633","1,384,633","1,384,633","1,384,633","1,384,633","1,384,633","1,384,633","1,384,633","1,384,633","1,384,633","1,384,633","2,489,269","2,489,269","2,532,227","2,602,581","2,618,722","2,618,722","2,618,722","2,764,345","2,884,738","2,900,040","2,982,302","2,982,302","2,982,302","2,982,302","2,982,302","2,982,302","2,982,302","2,982,302","2,982,302","2,982,302","2,982,302","2,982,302","2,982,302","2,982,302","3,992,206","4,088,986","4,183,143","4,279,588","4,279,588","5,500,000","5,500,000","5,500,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,030,812","6,175,223","6,323,472","6,461,460","7,500,000","7,500,000","7,500,000","8,500,000","8,500,000","8,500,000","8,500,000","8,500,000","8,500,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,035,395","10,218,319","10,390,812","10,556,474","10,712,335","10,806,709","10,841,327","11,020,523","11,174,392","11,174,392","11,469,737","11,616,000","11,699,517","11,723,039","11,900,095","12,061,094","12,225,760","12,394,558","12,394,558","12,679,122","12,710,074","12,710,074","13,128,805","13,336,528","13,550,961","13,765,883","13,894,126","13,931,849","14,182,285","14,406,499","14,637,427","14,880,040","14,880,040","15,271,734","15,315,055","15,592,956","15,836,818","16,060,497","16,303,968","16,540,372","16,718,098","16,819,377","17,055,801","17,367,177","17,651,546","17,891,276","18,120,790","18,249,032","18,282,590","18,528,562","18,754,431","18,792,403","19,005,625","19,191,764","19,275,371","19,339,461","19,339,461","19,659,456","19,779,652","19,898,736","20,024,871","20,084,917","20,098,815","20,224,617","20,326,038","20,418,493","20,512,082","20,618,607","20,669,628","20,678,186","20,787,734","20,879,180","20,957,718","21,041,852","21,145,554","27,993,301"
Germany,"1,728,357","1,728,357","1,728,357","1,728,357","1,728,357","1,728,357","2,072,669","2,072,669","2,072,669","2,072,669","2,072,669","2,072,669","2,072,669","2,547,052","2,547,052","2,547,052","2,547,052","2,547,052","2,547,052","2,547,052","2,755,770","2,755,770","2,755,770","2,755,770","2,755,770","2,755,770","2,755,770","3,147,771","3,147,771","3,147,771","3,147,771","3,147,771","3,147,771","3,147,771","3,595,059","3,595,059","3,595,059","3,595,059","3,595,059","3,595,059","3,595,059","3,952,971","3,952,971","3,952,971","3,952,971","3,952,971","3,952,971","3,952,971","4,348,880","4,348,880","4,348,880","4,348,880","4,348,880","4,348,880","4,348,880","4,694,147","4,694,147","4,694,147","4,694,147","4,694,147","4,694,147","4,694,147","5,029,696","5,029,696","5,029,696","5,029,696","5,029,696","5,029,696","5,029,696","5,412,655","5,412,655","5,412,655","5,412,655","5,412,655","5,412,655","5,412,655","5,873,563","5,873,563","5,873,563","5,873,563","5,873,563","5,873,563","5,873,563","6,376,054","6,376,054","6,376,054","6,376,054","6,376,054","6,376,054","6,376,054","6,376,054","6,884,614","6,884,614","6,884,614","6,884,614","6,884,614","6,884,614","7,418,812","7,418,812","7,418,812","7,418,812","7,418,812","7,418,812","7,418,812","8,006,135","8,006,135","8,006,135","8,006,135","8,006,135","8,006,135","8,006,135","8,586,648","8,586,648","8,586,648","8,586,648","8,586,648","8,586,648","8,586,648","8,586,648","8,586,648","8,586,648","8,586,648","9,265,361","9,265,361","9,265,361","10,197,366","10,197,366","10,197,366","10,197,366","10,197,366","10,197,366","10,197,366","11,208,091","11,208,091","11,208,091","11,208,091","11,208,091","11,208,091","11,208,091","12,383,035","12,383,035","12,383,035","12,383,035","12,383,035","12,383,035","12,383,035","13,436,301","13,436,301","13,436,301","13,436,301","13,436,301","13,436,301","13,436,301","14,557,136","14,557,136","14,557,136","14,557,136","14,557,136","14,557,136","14,557,136","14,557,136","15,642,654","15,642,654","15,642,654","15,642,654","15,642,654","15,642,654","15,642,654","16,999,253","16,999,253","16,999,253","16,999,253","16,999,253","16,999,253","16,999,253","18,129,900","18,129,900","18,129,900","18,129,900","18,129,900","18,129,900","19,276,507","19,276,507","19,276,507","19,276,507","19,276,507","19,276,507","19,276,507","19,276,507","19,276,507","20,380,376","20,380,376","20,380,376","20,380,376","20,380,376","20,380,376","21,882,967","21,882,967","21,882,967","21,882,967","21,882,967","21,882,967","21,882,967","23,393,311","23,393,311","23,393,311","23,393,311","23,393,311","23,393,311","23,393,311","25,010,416","25,010,416","25,010,416","25,010,416","25,010,416","25,010,416","25,010,416","26,456,866","26,456,866","26,456,866","26,456,866","26,456,866","26,456,866","27,859,242","27,859,242","27,859,242","27,859,242","27,859,242","27,859,242","27,859,242","27,859,242","29,141,172","29,141,172","29,141,172","29,141,172","29,141,172","29,141,172"
UK,"417,649","438,991","460,437","482,063","501,379","535,342","559,935","583,496","612,031","640,792","669,850","719,910","763,387","818,539","901,905","1,023,824","1,129,907","1,206,405","1,291,591","1,383,842","1,448,010","1,534,533","1,631,561","1,728,443","1,821,280","1,921,770","2,007,146","2,094,209","2,219,281","2,353,078","2,489,563","2,580,769","2,682,716","2,772,552","2,962,227","3,090,566","3,231,921","3,348,507","3,458,905","3,532,634","3,681,295","3,798,490","3,918,079","4,043,686","4,043,686","4,285,738","4,285,738","4,615,146","4,786,219","5,005,565","5,214,277","5,438,712","5,581,073","5,731,576","5,870,506","6,042,622","6,240,801","6,434,713","6,624,676","6,772,602","6,866,481","6,981,493","7,121,976","7,259,555","7,433,114","7,714,201","7,890,145","8,029,757","8,309,929","8,542,186","8,710,292","8,911,226","9,067,577","9,195,132","9,290,215","9,426,631","9,662,051","9,914,663","10,120,276","10,340,511","10,505,758","10,651,308","10,777,399","11,041,203","11,286,921","11,538,519","11,782,192","11,990,257","12,128,749","12,270,317","12,461,869","12,669,634","12,892,406","13,112,764","13,293,523","13,459,190","13,572,759","13,763,289","13,974,097","14,291,673","14,568,733","14,794,369","14,981,525","15,197,099","15,478,728","15,738,735","16,019,907","16,280,223","16,499,272","16,717,684","16,942,992","17,210,335","17,515,234","17,801,559","18,102,003","18,349,668","18,605,095","18,868,566","18,868,566","18,868,566","14,142,736","14,320,621","14,503,645","14,674,841","14,825,051","14,988,134","15,177,265","15,177,265","15,177,265","15,177,265","15,177,265","15,177,265","15,177,265","16,273,209","16,273,209","16,273,209","16,273,209","16,273,209","16,273,209","16,273,209","17,619,897","17,619,897","17,619,897","17,619,897","17,619,897","17,619,897","17,619,897","17,619,897","19,293,329","19,293,329","19,293,329","19,293,329","20,292,025","20,521,243","20,521,243","21,368,297","21,368,297","21,368,297","22,171,979","22,390,038","22,616,796","22,901,019","23,188,836","23,188,836","23,188,836","24,016,711","24,249,112","24,507,007","24,771,732","25,048,460","25,048,460","25,048,460","25,865,851","26,147,138","26,417,989","26,679,020","26,987,470","26,987,470","26,987,470","27,831,743","28,055,923","28,371,080","28,677,578","28,986,852","28,986,852","28,986,852","29,922,135","30,187,915","30,187,915","30,809,168","31,157,988","31,157,988","31,157,988","32,151,242","32,418,083","32,745,923","33,089,838","33,470,217","33,470,217","33,470,217","34,400,076","34,634,393","34,920,908","35,241,533","35,600,586","35,600,586","35,600,586","36,567,555","36,809,469","37,147,111","37,533,659","37,918,526","37,918,526","37,918,526","38,932,715","39,188,326","39,480,052","39,858,046","40,266,183","40,266,183","40,266,183","41,316,814","41,533,643","41,858,783","42,217,206","42,605,903","42,605,903","42,605,903","43,479,023","43,729,581","44,059,851","44,416,420","44,812,139","44,812,139","44,812,139","45,826,753","46,047,237"
Turkey,"518,143","558,413","598,933","634,277","673,980","713,409","750,944","791,906","830,257","868,565","898,742","918,885","948,115","991,613","1,033,617","1,075,048","1,111,366","1,135,367","1,171,138","1,204,421","1,234,724","1,265,119","1,298,806","1,334,411","1,370,598","1,403,320","1,440,671","1,474,003","1,508,824","1,547,389","1,589,625","1,624,994","1,650,135","1,675,517","1,696,355","1,729,988","1,767,495","1,807,673","1,832,262","1,853,754","1,873,607","1,894,650","1,928,209","1,964,364","2,003,594","2,039,194","2,070,719","2,103,044","2,155,349","2,209,583","2,267,412","2,303,258","2,338,593","2,377,954","2,415,179","2,451,700","2,500,890","2,541,903","2,586,995","2,632,171","2,674,203","2,721,003","2,773,904","2,822,316","2,863,632","2,904,744","2,945,240","2,986,653","3,029,635","3,083,121","3,135,424","3,186,622","3,231,835","3,280,144","3,331,158","3,381,650","3,433,963","3,483,677","3,535,818","3,584,066","3,630,480","3,682,673","3,733,218","3,782,520","3,832,623","3,881,410","3,930,223","3,975,455","4,021,947","4,065,178","4,107,498","4,149,909","4,191,124","4,232,067","4,273,377","4,316,781","4,359,627","4,403,031","4,446,374","4,489,360","4,532,672","4,572,688","4,617,971","4,665,383","4,711,095","4,754,331","4,800,823","4,845,669","4,885,916","4,927,217","4,973,466","5,027,308","5,081,802","5,138,528","5,202,370","5,263,816","5,326,035","5,387,751","5,454,988","5,521,880","5,592,072","5,659,286","5,725,242","5,800,088","5,882,406","5,969,629","6,061,930","6,154,157","6,247,164","6,327,466","6,423,409","6,521,640","6,621,749","6,727,860","6,835,674","6,937,088","7,028,390","7,138,492","7,247,935","7,355,862","7,466,087","7,583,200","7,682,697","7,779,539","7,883,464","7,994,029","8,105,222","8,212,924","8,325,137","8,423,463","8,519,560","8,632,123","8,742,535","8,855,180","8,965,165","9,076,278","9,173,694","9,269,015","9,381,957","9,496,268","9,608,370","9,721,687","9,834,572","9,936,581","10,037,700","10,153,223","10,268,163","10,380,261","10,493,807","10,608,664","10,711,883","10,806,285","10,931,917","11,044,338","11,160,946","11,278,047","11,402,342","11,506,414","11,615,715","11,731,350","11,846,342","11,961,670","12,077,773","12,194,778","12,306,909","12,408,312","12,524,561","12,641,126","12,759,069","12,876,267","12,992,246","13,105,673","13,217,888","13,350,801","13,478,452","13,606,764","13,741,180","13,877,705","14,001,814","14,125,157","14,264,260","14,410,507","14,554,923","14,700,951","14,846,192","14,985,867","15,127,811","15,273,222","15,419,420","15,565,409","15,713,891","15,863,833","16,013,974","16,156,470","16,307,986","16,464,678","16,623,489","16,781,245","16,937,887","17,090,101","17,245,617","17,406,742","17,568,973","17,733,520","17,901,868","18,072,981","18,247,424","18,415,636","18,592,292","18,772,604","18,956,228","19,143,746","19,338,181","19,517,084","19,691,845","19,888,747","20,089,966"
Iran,"310,340","319,879","330,137","341,662","353,012","365,723","377,396","389,507","399,927","410,075","421,313","432,329","442,590","453,386","463,295","475,023","484,541","496,273","508,288","519,543","531,275","544,702","558,899","573,220","586,699","601,324","615,477","629,534","643,772","658,604","672,679","686,935","701,640","716,176","731,213","746,045","763,913","781,286","800,519","818,917","837,090","856,546","876,492","896,571","896,571","935,894","955,865","975,936","997,009","1,019,362","1,040,289","1,040,289","1,084,857","1,107,254","1,128,601","1,128,601","1,173,208","1,196,947","1,219,400","1,244,074","1,269,194","1,293,609","1,319,920","1,344,599","1,370,718","1,395,675","1,422,407","1,449,420","1,475,331","1,502,525","1,530,437","1,557,872","1,583,542","1,610,869","1,639,078","1,666,587","1,693,242","1,719,451","1,744,958","1,744,958","1,794,727","1,820,000","1,846,793","1,872,391","1,897,803","1,922,501","1,947,114","1,972,207","1,997,967","2,023,079","2,048,049","2,073,791","2,073,791","2,123,518","2,148,999","2,175,217","2,201,958","2,228,277","2,254,123","2,278,384","2,302,634","2,327,850","2,353,532","2,380,122","2,405,862","2,431,804","2,456,909","2,482,553","2,508,418","2,534,658","2,560,374","2,587,083","2,612,763","2,637,575","2,637,575","2,686,498","2,711,817","2,736,514","2,763,225","2,788,027","2,812,488","2,836,252","2,861,825","2,887,938","2,914,049","2,939,840","2,939,840","2,987,117","3,011,310","3,036,711","3,062,422","3,088,313","3,113,806","3,138,782","3,161,894","3,184,857","3,184,857","3,231,110","3,256,122","3,281,961","3,307,383","3,331,073","3,355,152","3,380,264","3,406,055","3,431,646","3,431,646","3,483,727","3,507,938","3,532,873","3,532,873","3,586,848","3,613,891","3,641,581","3,667,551","3,691,399","3,719,210","3,746,629","3,773,300","3,800,619","3,828,330","3,854,827","3,879,640","3,905,352","3,932,571","3,959,783","3,986,720","4,014,821","4,043,130","4,067,861","4,095,161","4,123,173","4,151,445","4,179,338","4,207,631","4,232,064","4,257,766","4,284,413","4,312,514","4,340,831","4,369,622","4,398,723","4,426,779","4,454,570","4,482,263","4,511,154","4,540,455","4,570,243","4,599,554","4,628,866","4,658,727","4,689,118","4,719,597","4,753,357","4,786,769","4,821,681","4,857,392","4,892,704","4,929,005","4,965,326","4,965,326","5,036,633","5,073,034","5,110,752","5,147,249","5,185,361","5,224,252","5,263,173","5,302,200","5,344,821","5,384,988","5,424,479","5,464,191","5,505,070","5,545,444","5,586,141","5,626,631","5,626,631","5,626,631","5,747,325","5,788,016","5,828,307","5,871,098","5,913,229","5,955,724","5,955,724","6,038,556","6,081,952","6,125,348","6,168,637","6,212,694","6,256,715","6,256,715","6,342,628","6,387,019","6,432,228","6,477,718"
