Date,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious_Critical
April16,721,0,14,0,644,63,7
April17,721,0,15,0,644,62,7
April18,721,0,15,0,644,62,7
April19,721,0,15,0,644,62,7
April20,721,0,15,0,644,62,7
April21,721,0,15,0,644,62,7
April22,721,0,15,0,645,61,4
April23,721,0,15,0,645,61,4
April24,721,0,15,0,645,61,4
April25,721,0,15,0,645,61,4
April26,721,0,15,0,645,61,4
April27,721,0,15,0,645,61,4
April28,721,0,15,0,645,61,4
April29,721,0,15,0,645,61,4
April30,721,0,15,0,645,61,4
May01,721,0,15,0,645,61,4
May02,721,0,15,0,645,61,4
May03,721,0,15,0,645,61,4
May04,721,0,15,0,645,61,4
May05,721,0,15,0,645,61,4
May06,721,0,15,0,645,61,4
May07,721,0,15,0,645,61,4
May08,721,0,15,0,645,61,4
May09,721,0,15,0,645,61,4
May10,721,0,15,0,651,55,4
May11,721,0,15,0,651,55,4
May12,721,0,15,0,651,55,4
May13,721,0,15,0,651,55,4
May14,721,0,15,0,651,55,4
May15,721,0,15,0,651,55,4
May16,721,0,15,0,651,55,4
May17,721,0,15,0,651,55,4
May18,721,0,15,0,651,55,4
May19,721,0,15,0,651,55,4
May20,721,0,15,0,651,55,4
May21,721,0,15,0,651,55,4
May22,721,0,15,0,651,55,4
May23,721,0,15,0,651,55,4
May24,721,0,15,0,651,55,4
May25,721,0,15,0,651,55,4
May26,721,0,15,0,651,55,4
May27,721,0,15,0,651,55,4
May28,721,0,15,0,651,55,4
May29,721,0,15,0,651,55,4
May30,721,0,15,0,651,55,4
May31,721,0,15,0,651,55,4
June01,721,0,15,0,651,55,4
June02,721,0,15,0,651,55,4
June03,721,0,15,0,651,55,4
June04,721,0,15,0,651,55,4
June05,721,0,15,0,651,55,4
June06,721,0,15,0,651,55,4
June07,721,0,15,0,651,55,4
June08,721,0,15,0,651,55,4
June09,721,0,15,0,651,55,4
June10,721,0,15,0,651,55,4
June11,721,0,15,0,651,55,4
June12,721,0,15,0,651,55,4
June13,721,0,15,0,651,55,4
June14,721,0,15,0,651,55,4
June15,721,0,15,0,651,55,4
June16,721,0,15,0,651,55,4
June17,721,0,15,0,651,55,4
June18,721,0,15,0,651,55,4
June19,721,0,15,0,651,55,4
June20,721,0,15,0,651,55,4
June21,721,0,15,0,651,55,4
June22,721,0,15,0,651,55,4
June23,721,0,15,0,651,55,4
June24,721,0,15,0,651,55,4
June25,721,0,15,0,651,55,4
June26,721,0,15,0,651,55,4
June27,721,0,15,0,651,55,4
June28,721,0,15,0,651,55,4
June29,721,0,15,0,651,55,4
June30,721,0,15,0,651,55,4
July01,721,0,15,0,651,55,4
July02,721,0,15,0,651,55,4
July03,721,0,15,0,651,55,4
July04,721,0,15,0,651,55,4
July05,721,0,15,0,651,55,4
July06,721,0,15,0,651,55,4
July07,721,0,15,0,651,55,4
July08,721,0,15,0,651,55,4
July09,721,0,15,0,651,55,4
July10,721,0,15,0,651,55,4
July11,721,0,15,0,651,55,4
July12,721,0,15,0,651,55,4
July13,721,0,15,0,651,55,4
July14,721,0,15,0,651,55,4
July15,721,0,15,0,651,55,4
July16,721,0,15,0,651,55,4
July17,721,0,15,0,651,55,4
July18,721,0,15,0,651,55,4
July19,721,0,15,0,651,55,4
July20,721,0,15,0,651,55,4
July21,721,0,15,0,651,55,4
July22,721,0,15,0,651,55,4
July23,721,0,15,0,651,55,4
July24,721,0,15,0,651,55,4
July25,721,0,15,0,651,55,4
July26,721,0,15,0,651,55,4
July27,721,0,15,0,651,55,4
July28,721,0,15,0,651,55,4
July29,721,0,15,0,651,55,4
July30,721,0,15,0,651,55,4
July31,721,0,15,0,651,55,4
August01,721,0,15,0,651,55,4
August02,721,0,15,0,651,55,4
August03,721,0,15,0,651,55,4
August04,721,0,15,0,651,55,4
August05,721,0,15,0,651,55,4
August06,721,0,15,0,651,55,4
August07,721,0,15,0,651,55,4
August08,721,0,15,0,651,55,4
August09,721,0,15,0,651,55,4
August10,721,0,15,0,651,55,4
August11,721,0,15,0,651,55,4
August12,721,0,15,0,651,55,4
August13,721,0,15,0,651,55,4
August14,721,0,15,0,651,55,4
August15,721,0,15,0,651,55,4
August16,721,0,15,0,651,55,4
August17,721,0,15,0,651,55,4
August18,721,0,15,0,651,55,4
August19,721,0,15,0,651,55,4
August20,721,0,15,0,651,55,4
August21,721,0,15,0,651,55,4
August22,721,0,15,0,651,55,4
August23,721,0,15,0,651,55,4
August24,721,0,15,0,651,55,4
August25,721,0,15,0,651,55,4
August26,721,0,15,0,651,55,4
August27,721,0,15,0,651,55,4
August28,721,0,15,0,651,55,4
August29,721,0,15,0,651,55,4
August30,721,0,15,0,651,55,4
August31,721,0,15,0,651,55,4
September01,721,0,15,0,651,55,4
September02,721,0,15,0,651,55,4
September03,721,0,15,0,651,55,4
September04,721,0,15,0,651,55,4
September05,721,0,15,0,651,55,4
September06,721,0,15,0,651,55,4
September07,721,0,15,0,651,55,4
September08,721,0,15,0,651,55,4
September09,721,0,15,0,651,55,4
September10,721,0,15,0,651,55,4
September11,721,0,15,0,651,55,4
September12,721,0,15,0,651,55,4
September13,721,0,15,0,651,55,4
September14,721,0,15,0,651,55,4
September15,721,0,15,0,651,55,4
September16,721,0,15,0,651,55,4
September17,721,0,15,0,651,55,4
September18,721,0,15,0,651,55,4
September19,721,0,15,0,651,55,4
September20,721,0,15,0,651,55,4
September21,721,0,15,0,651,55,4
September22,721,0,15,0,651,55,4
September23,721,0,15,0,651,55,4
September24,721,0,15,0,651,55,4
September25,721,0,15,0,651,55,4
September26,721,0,15,0,651,55,4
September27,721,0,15,0,651,55,4
September28,721,0,15,0,651,55,4
September29,721,0,15,0,651,55,4
September30,721,0,15,0,651,55,4
October01,721,0,15,0,651,55,4
October02,721,0,15,0,651,55,4
October03,721,0,15,0,651,55,4
October04,721,0,15,0,651,55,4
October05,721,0,15,0,651,55,4
October06,721,0,15,0,651,55,4
October07,721,0,15,0,651,55,4
October08,721,0,15,0,651,55,4
