Date,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious_Critical
April16,67591,4289,3057,260,25971,38563,7601
April17,72531,4940,3318,261,26856,42357,7574
April18,77973,5442,3653,335,27692,46628,7532
April19,82252,4279,3849,196,36329,42074,7534
April20,86486,4234,4079,230,37059,45348,9053
April21,91260,4774,4312,233,39757,47191,9472
April22,96661,5401,4575,263,41402,50684,9499
April23,103328,6667,5073,498,43653,54602,9511
April24,120166,16838,5538,465,45555,69073,9620
April25,131149,10983,6004,466,47916,77229,9690
April26,137920,6771,6289,285,49653,81978,9699
April27,144174,6254,6730,441,51611,85833,9772
April28,155203,11029,7568,838,54267,93368,9775
April29,165814,10611,8144,576,57261,100409,9748
April30,176814,11000,8702,558,60095,108017,9802
May01,190099,13285,9480,784,63905,116714,9812
May02,199750,9651,10243,763,69039,120468,9862
May03,211812,12062,10840,597,73968,127004,9853
May04,224274,12462,11268,428,78385,134621,9938
May05,236825,12551,11981,713,82346,142498,9958
May06,251611,17247,12825,844,88342,150444,9960
May07,267592,15981,13583,758,93920,160089,9985
May08,282175,16063,14577,994,99221,168377,10013
May09,297954,15779,15392,815,103599,178963,10093
May10,310070,12116,16384,992,108625,185061,10114
May11,320117,10097,17016,632,112841,190260,10155
May12,335624,15507,18108,1092,119716,197800,10109
May13,355291,19667,19025,917,127892,208374,10124
May14,377189,21898,20038,1013,130939,226212,10334
May15,401072,23863,21303,1265,139641,240128,10271
May16,424547,23475,22406,1103,147133,255008,10423
May17,440182,15635,23117,711,153379,263686,10426
May18,461197,21015,24115,998,162622,274460,10478
May19,487657,26460,25478,1363,176973,285206,10599
May20,520088,32431,26625,1147,193731,299732,10583
May21,548624,28536,28078,1453,206440,314106,10657
May22,578187,29563,29361,1283,218724,330102,10701
May23,604966,26779,30590,1229,230827,343549,10818
May24,631840,26874,31472,882,242187,358181,10855
May25,656215,24375,32638,1166,263485,360092,10892
May26,683742,27527,33924,1286,272294,377524,10975
May27,719633,35891,35430,1506,287501,396702,11035
May28,757488,37855,36733,1303,320777,399978,11077
May29,800054,42566,38178,1445,327855,434021,11226
May30,844619,44565,39315,1137,345821,459483,11281
May31,877944,33325,40081,766,352606,485257,11321
June01,906678,28734,41090,1009,362277,503311,11398
June02,945730,39052,42658,1568,394659,508413,11404
June03,985724,39994,44274,1616,466014,475436,11404
June04,1030090,44366,46075,1801,484362,499653,11695
June05,1072308,42218,47451,1376,507440,517417,11720
June06,1113750,41442,48757,1306,525860,539133,11778
June07,1146470,32720,50222,1465,531364,564884,11783
June08,1176276,29806,51327,1105,559961,564988,11792
June09,1219028,42752,52845,1518,563823,602360,11932
June10,1267221,48193,54623,1778,625773,586825,11919
June11,1312982,45761,56373,1750,678269,578340,11988
June12,1355444,42462,57844,1471,690198,607402,12010
June13,1392150,36706,59305,1461,732990,599855,12001
June14,1425696,33546,60457,1152,754593,610646,12071
June15,1462546,36850,61541,1084,781086,619919,12091
June16,1513688,51142,63262,1721,806979,643447,12102
June17,1590358,45248,65068,1806,851014,674276,12159
June18,1628253,37895,66924,1856,886003,675326,12229
June19,1700200,71947,68812,1888,915077,716311,12378
June20,1745940,45740,70299,1487,948899,726742,12432
June21,1778994,33054,71491,1192,995599,711904,12517
June22,1816217,37223,72582,1091,1006748,736887,12536
June23,1870592,54375,74358,1776,1051571,744663,12531
June24,1926777,56185,76025,1667,1097784,752968,12589
June25,1985185,58408,77851,1826,1110852,796482,12727
June26,2049218,64033,79543,1692,1172573,797102,12770
June27,2102161,52943,81207,1664,1202808,818146,12773
June28,2146835,44674,82342,1135,1232788,831705,12780
June29,2186528,39693,83614,1272,1267061,835853,12789
June30,2237790,51262,85395,1781,1311851,840544,12802
July01,2298900,61110,86989,1594,1359777,852134,12923
July02,2362421,63521,88968,1979,1460102,813351,12969
July03,2420731,58310,90865,1897,1500641,829225,12991
July04,2472274,51543,92635,1770,1543796,835843,13474
July05,2514134,41860,93685,1050,1555482,864967,13482
July06,2549517,35383,94925,1240,1566615,887977,13569
July07,2613895,64378,96778,1853,1671188,845929,13605
July08,2670605,56710,98564,1786,1733082,838959,13633
July09,2732176,61571,100345,1781,1779643,852188,13629
July10,2796482,64306,102270,1925,1823228,870984,13616
July11,2851174,54692,103914,1644,1863848,883412,13647
July12,2893624,42450,105156,1242,1873771,914697,13691
July13,2930866,37242,106440,1284,1885041,939385,13709
July14,2991624,60758,108367,1927,1895112,988145,13640
July15,3049446,57822,110271,1904,1949320,989855,13640
July16,3114441,64995,112251,1980,2076089,926101,13681
July17,3172284,57843,115017,1807,2087322,969945,13661
July18,3220452,48168,116575,1558,2103986,999891,13691
July19,3265299,44847,117891,1316,2122864,1024544,13643
July20,3306656,41357,119299,1408,2175988,1011369,13654
July21,3373687,67031,121360,2061,2246666,1005661,14072
July22,3461468,87781,126992,1944,2325174,1009302,14148
July23,3544040,82572,129137,2145,2379073,1035830,14174
July24,3625401,81361,131089,1952,2417471,1076841,14227
July25,3695048,69647,132984,1895,2458860,1103204,14224
July26,3741218,46170,134208,1224,2491960,1115050,14283
July27,3787364,46146,135545,1337,2540950,1110869,14309
July28,3855598,68234,137288,1743,2610335,1107975,14270
July29,3951273,95675,139691,2403,2692129,1119453,14274
July30,4038172,86899,141820,2129,2744379,1151973,14266
July31,4119150,80978,143823,2003,2819648,1155679,14279
August01,4190728,71578,145541,1718,2836204,1208983,14322
August02,4244474,53746,146817,1276,2851399,1246258,14300
August03,4286142,41668,148333,1516,2918001,1219808,13135
August04,4368330,82188,150555,2222,3005354,1212421,14304
August05,4454040,85710,152724,2169,3071835,1229481,14329
August06,4542972,88932,154812,2088,3115538,1272622,14319
August07,4623986,81014,156744,1932,3153237,1314005,14478
August08,4699689,75703,158324,1580,3199084,1342281,14661
August09,4749460,49771,159676,1352,3245733,1344051,14719
